"stage","series","frequency","date","time_index","value"
"transformed","SWGBOND.",12,1990-01-01,1990,1.55694444444444
"transformed","SWGBOND.",12,1990-02-01,1990.08333333333,1.74361111111111
"transformed","SWGBOND.",12,1990-03-01,1990.16666666667,1.86583333333333
"transformed","SWGBOND.",12,1990-04-01,1990.25,1.94388888888889
"transformed","SWGBOND.",12,1990-05-01,1990.33333333333,1.55194444444444
"transformed","SWGBOND.",12,1990-06-01,1990.41666666667,1.34277777777778
"transformed","SWGBOND.",12,1990-07-01,1990.5,1.21444444444444
"transformed","SWGBOND.",12,1990-08-01,1990.58333333333,1.54722222222222
"transformed","SWGBOND.",12,1990-09-01,1990.66666666667,1.51666666666667
"transformed","SWGBOND.",12,1990-10-01,1990.75,1.43083333333333
"transformed","SWGBOND.",12,1990-11-01,1990.83333333333,1.42583333333333
"transformed","SWGBOND.",12,1990-12-01,1990.91666666667,1.39222222222222
"transformed","SWGBOND.",12,1991-01-01,1991,1.1475
"transformed","SWGBOND.",12,1991-02-01,1991.08333333333,0.888611111111111
"transformed","SWGBOND.",12,1991-03-01,1991.16666666667,0.768611111111111
"transformed","SWGBOND.",12,1991-04-01,1991.25,0.571666666666666
"transformed","SWGBOND.",12,1991-05-01,1991.33333333333,0.315
"transformed","SWGBOND.",12,1991-06-01,1991.41666666667,0.424722222222222
"transformed","SWGBOND.",12,1991-07-01,1991.5,0.405277777777778
"transformed","SWGBOND.",12,1991-08-01,1991.58333333333,0.464722222222223
"transformed","SWGBOND.",12,1991-09-01,1991.66666666667,0.500833333333333
"transformed","SWGBOND.",12,1991-10-01,1991.75,0.926111111111112
"transformed","SWGBOND.",12,1991-11-01,1991.83333333333,0.793888888888889
"transformed","SWGBOND.",12,1991-12-01,1991.91666666667,0.461111111111111
"transformed","SWGBOND.",12,1992-01-01,1992,0.225
"transformed","SWGBOND.",12,1992-02-01,1992.08333333333,0.135833333333333
"transformed","SWGBOND.",12,1992-03-01,1992.16666666667,0.633611111111112
"transformed","SWGBOND.",12,1992-04-01,1992.25,0.461944444444445
"transformed","SWGBOND.",12,1992-05-01,1992.33333333333,0.726944444444445
"transformed","SWGBOND.",12,1992-06-01,1992.41666666667,0.736666666666666
"transformed","SWGBOND.",12,1992-07-01,1992.5,0.639444444444445
"transformed","SWGBOND.",12,1992-08-01,1992.58333333333,0.573611111111111
"transformed","SWGBOND.",12,1992-09-01,1992.66666666667,-0.0136111111111115
"transformed","SWGBOND.",12,1992-10-01,1992.75,-0.235277777777778
"transformed","SWGBOND.",12,1992-11-01,1992.83333333333,-0.2825
"transformed","SWGBOND.",12,1992-12-01,1992.91666666667,-0.664166666666667
"transformed","SWGBOND.",12,1993-01-01,1993,-0.790277777777777
"transformed","SWGBOND.",12,1993-02-01,1993.08333333333,-1.38194444444444
"transformed","SWGBOND.",12,1993-03-01,1993.16666666667,-1.55222222222222
"transformed","SWGBOND.",12,1993-04-01,1993.25,-1.34277777777778
"transformed","SWGBOND.",12,1993-05-01,1993.33333333333,-1.3025
"transformed","SWGBOND.",12,1993-06-01,1993.41666666667,-1.53861111111111
"transformed","SWGBOND.",12,1993-07-01,1993.5,-1.51611111111111
"transformed","SWGBOND.",12,1993-08-01,1993.58333333333,-1.53055555555556
"transformed","SWGBOND.",12,1993-09-01,1993.66666666667,-1.49361111111111
"transformed","SWGBOND.",12,1993-10-01,1993.75,-1.68027777777778
"transformed","SWGBOND.",12,1993-11-01,1993.83333333333,-1.57611111111111
"transformed","SWGBOND.",12,1993-12-01,1993.91666666667,-1.61777777777778
"transformed","SWGBOND.",12,1994-01-01,1994,-1.48638888888889
"transformed","SWGBOND.",12,1994-02-01,1994.08333333333,-1.17777777777778
"transformed","SWGBOND.",12,1994-03-01,1994.16666666667,-0.975277777777777
"transformed","SWGBOND.",12,1994-04-01,1994.25,-0.518611111111111
"transformed","SWGBOND.",12,1994-05-01,1994.33333333333,-0.5075
"transformed","SWGBOND.",12,1994-06-01,1994.41666666667,-0.209722222222222
"transformed","SWGBOND.",12,1994-07-01,1994.5,-0.249444444444444
"transformed","SWGBOND.",12,1994-08-01,1994.58333333333,-0.0122222222222215
"transformed","SWGBOND.",12,1994-09-01,1994.66666666667,0.153333333333333
"transformed","SWGBOND.",12,1994-10-01,1994.75,0.134166666666666
"transformed","SWGBOND.",12,1994-11-01,1994.83333333333,-0.0505555555555555
"transformed","SWGBOND.",12,1994-12-01,1994.91666666667,-0.0908333333333333
"transformed","SWGBOND.",12,1995-01-01,1995,-0.0469444444444447
"transformed","SWGBOND.",12,1995-02-01,1995.08333333333,-0.0147222222222219
"transformed","SWGBOND.",12,1995-03-01,1995.16666666667,-0.123055555555556
"transformed","SWGBOND.",12,1995-04-01,1995.25,-0.230833333333333
"transformed","SWGBOND.",12,1995-05-01,1995.33333333333,-0.335555555555556
"transformed","SWGBOND.",12,1995-06-01,1995.41666666667,-0.210555555555555
"transformed","SWGBOND.",12,1995-07-01,1995.5,-0.234722222222222
"transformed","SWGBOND.",12,1995-08-01,1995.58333333333,-0.305833333333332
"transformed","SWGBOND.",12,1995-09-01,1995.66666666667,-0.427777777777778
"transformed","SWGBOND.",12,1995-10-01,1995.75,-0.560277777777777
