"stage","series","frequency","date","time_index","value"
"raw","SWCONPRCE",12,1953-01-01,1953,20.800119
"raw","SWCONPRCE",12,1953-02-01,1953.08333333333,20.808713
"raw","SWCONPRCE",12,1953-03-01,1953.16666666667,20.756991
"raw","SWCONPRCE",12,1953-04-01,1953.25,20.772252
"raw","SWCONPRCE",12,1953-05-01,1953.33333333333,20.774581
"raw","SWCONPRCE",12,1953-06-01,1953.41666666667,20.789795
"raw","SWCONPRCE",12,1953-07-01,1953.5,20.767063
"raw","SWCONPRCE",12,1953-08-01,1953.58333333333,20.721401
"raw","SWCONPRCE",12,1953-09-01,1953.66666666667,20.800212
"raw","SWCONPRCE",12,1953-10-01,1953.75,20.758562
"raw","SWCONPRCE",12,1953-11-01,1953.83333333333,20.762892
"raw","SWCONPRCE",12,1953-12-01,1953.91666666667,20.695115
"raw","SWCONPRCE",12,1954-01-01,1954,20.810415
"raw","SWCONPRCE",12,1954-02-01,1954.08333333333,20.833746
"raw","SWCONPRCE",12,1954-03-01,1954.16666666667,20.837449
"raw","SWCONPRCE",12,1954-04-01,1954.25,20.868887
"raw","SWCONPRCE",12,1954-05-01,1954.33333333333,20.761302
"raw","SWCONPRCE",12,1954-06-01,1954.41666666667,20.878987
"raw","SWCONPRCE",12,1954-07-01,1954.5,20.946324
"raw","SWCONPRCE",12,1954-08-01,1954.58333333333,20.990247
"raw","SWCONPRCE",12,1954-09-01,1954.66666666667,20.997429
"raw","SWCONPRCE",12,1954-10-01,1954.75,21.05001
"raw","SWCONPRCE",12,1954-11-01,1954.83333333333,21.037087
"raw","SWCONPRCE",12,1954-12-01,1954.91666666667,21.064149
"raw","SWCONPRCE",12,1955-01-01,1955,21.098674
"raw","SWCONPRCE",12,1955-02-01,1955.08333333333,21.119686
"raw","SWCONPRCE",12,1955-03-01,1955.16666666667,21.032842
"raw","SWCONPRCE",12,1955-04-01,1955.25,21.160579
"raw","SWCONPRCE",12,1955-05-01,1955.33333333333,21.023574
"raw","SWCONPRCE",12,1955-06-01,1955.41666666667,21.035834
"raw","SWCONPRCE",12,1955-07-01,1955.5,21.043446
"raw","SWCONPRCE",12,1955-08-01,1955.58333333333,21.10017
"raw","SWCONPRCE",12,1955-09-01,1955.66666666667,21.08806
"raw","SWCONPRCE",12,1955-10-01,1955.75,21.155463
"raw","SWCONPRCE",12,1955-11-01,1955.83333333333,21.128401
"raw","SWCONPRCE",12,1955-12-01,1955.91666666667,21.151424
"raw","SWCONPRCE",12,1956-01-01,1956,21.169771
"raw","SWCONPRCE",12,1956-02-01,1956.08333333333,21.203463
"raw","SWCONPRCE",12,1956-03-01,1956.16666666667,21.316014
"raw","SWCONPRCE",12,1956-04-01,1956.25,21.361535
"raw","SWCONPRCE",12,1956-05-01,1956.33333333333,21.407178
"raw","SWCONPRCE",12,1956-06-01,1956.41666666667,21.418633
"raw","SWCONPRCE",12,1956-07-01,1956.5,21.498044
"raw","SWCONPRCE",12,1956-08-01,1956.58333333333,21.483372
"raw","SWCONPRCE",12,1956-09-01,1956.66666666667,21.551027
"raw","SWCONPRCE",12,1956-10-01,1956.75,21.53556
"raw","SWCONPRCE",12,1956-11-01,1956.83333333333,21.596334
"raw","SWCONPRCE",12,1956-12-01,1956.91666666667,21.615382
"raw","SWCONPRCE",12,1957-01-01,1957,21.730055
"raw","SWCONPRCE",12,1957-02-01,1957.08333333333,21.636179
"raw","SWCONPRCE",12,1957-03-01,1957.16666666667,21.686844
"raw","SWCONPRCE",12,1957-04-01,1957.25,21.728251
"raw","SWCONPRCE",12,1957-05-01,1957.33333333333,21.782478
"raw","SWCONPRCE",12,1957-06-01,1957.41666666667,21.790455
"raw","SWCONPRCE",12,1957-07-01,1957.5,21.810354
"raw","SWCONPRCE",12,1957-08-01,1957.58333333333,21.93277
"raw","SWCONPRCE",12,1957-09-01,1957.66666666667,21.942954
"raw","SWCONPRCE",12,1957-10-01,1957.75,21.993469
"raw","SWCONPRCE",12,1957-11-01,1957.83333333333,22.077723
"raw","SWCONPRCE",12,1957-12-01,1957.91666666667,22.093461
"raw","SWCONPRCE",12,1958-01-01,1958,22.104776
"raw","SWCONPRCE",12,1958-02-01,1958.08333333333,22.103971
"raw","SWCONPRCE",12,1958-03-01,1958.16666666667,22.15414
"raw","SWCONPRCE",12,1958-04-01,1958.25,22.195921
"raw","SWCONPRCE",12,1958-05-01,1958.33333333333,22.249176
"raw","SWCONPRCE",12,1958-06-01,1958.41666666667,22.351936
"raw","SWCONPRCE",12,1958-07-01,1958.5,22.369339
"raw","SWCONPRCE",12,1958-08-01,1958.58333333333,22.306686
"raw","SWCONPRCE",12,1958-09-01,1958.66666666667,22.320722
"raw","SWCONPRCE",12,1958-10-01,1958.75,22.276697
"raw","SWCONPRCE",12,1958-11-01,1958.83333333333,22.267215
"raw","SWCONPRCE",12,1958-12-01,1958.91666666667,22.281251
"raw","SWCONPRCE",12,1959-01-01,1959,22.199185
"raw","SWCONPRCE",12,1959-02-01,1959.08333333333,22.195304
"raw","SWCONPRCE",12,1959-03-01,1959.16666666667,22.150718
"raw","SWCONPRCE",12,1959-04-01,1959.25,22.094658
"raw","SWCONPRCE",12,1959-05-01,1959.33333333333,22.062368
"raw","SWCONPRCE",12,1959-06-01,1959.41666666667,21.976468
"raw","SWCONPRCE",12,1959-07-01,1959.5,21.987456
"raw","SWCONPRCE",12,1959-08-01,1959.58333333333,22.028133
"raw","SWCONPRCE",12,1959-09-01,1959.66666666667,22.139534
"raw","SWCONPRCE",12,1959-10-01,1959.75,22.097762
"raw","SWCONPRCE",12,1959-11-01,1959.83333333333,22.088888
"raw","SWCONPRCE",12,1959-12-01,1959.91666666667,22.102503
"raw","SWCONPRCE",12,1960-01-01,1960,22.198091
"raw","SWCONPRCE",12,1960-02-01,1960.08333333333,22.284337
"raw","SWCONPRCE",12,1960-03-01,1960.16666666667,22.334253
"raw","SWCONPRCE",12,1960-04-01,1960.25,22.362672
"raw","SWCONPRCE",12,1960-05-01,1960.33333333333,22.340107
"raw","SWCONPRCE",12,1960-06-01,1960.41666666667,22.443064
"raw","SWCONPRCE",12,1960-07-01,1960.5,22.445317
