"stage","Keys","frequency","start_date","end_date"
"raw","SWCONPRCE",12,1953-01-01,2026-02-01
"raw","SWPROPRCE",12,1963-01-01,2026-01-01
"raw","SWCPCOREF",12,2000-05-01,2026-02-01
"raw","ch.fso.rtt.ind.r.noga0801.sa",12,2000-01-01,2026-01-01
"raw","SWPURCHSQ",12,1995-01-01,2026-02-01
"raw","SWPMIORDQ",12,1995-01-01,2026-02-01
"raw","SWPMIPROQ",12,1995-01-01,2026-02-01
"raw","FINANSW",48,1973-01-09,2026-03-10
"raw","INDUSSW",48,1973-01-09,2026-03-10
"raw","SWISSMI",48,1988-07-09,2026-03-10
"raw","oev_freq_hardbruecke",48,2020-01-01,2026-01-16
"raw","oev_freq_hb",48,2019-08-02,2021-08-10
"raw","tages_distanz_median",48,2020-01-01,2021-07-02
"raw","debiteinsatz_ausland",48,2018-01-01,2021-10-02
"raw","bezug_bargeld",48,2020-01-01,2023-01-01
"raw","stat_einkauf",48,2019-03-18,2026-02-08
"raw","aufkommen_miv",48,2012-01-01,2026-02-08
"raw","anz_kktrans_ch",48,2020-01-01,2020-12-23
"raw","ch.kof.inu.ng08.fx.q_ql_ass_bs.balance.d11",12,2004-01-01,2026-03-01
"raw","ch.kof.bau.ng08.fx.q_ql_ass_bs.balance.d11",12,1994-10-01,2026-03-01
"raw","ch.kof.fvu.ng08.fx.q_ql_ass_bs.balance.d11",12,2010-07-01,2026-03-01
"raw","ch.kof.aiu.ng08.fx.q_ql_ass_bs.balance.d11",12,1996-04-01,2026-03-01
"raw","ch.kof.bts_total.ng08.fx.q_ql_ass_bs.balance.d11",12,2009-04-01,2026-03-01
"raw","ch.kof.inu.ng08.fx.sector_mig.cap_gd.q_ql_ass_bs.balance.d11",12,2004-01-01,2026-03-01
"raw","ch.kof.inu.ng08.fx.sector_mig.cons_dr.q_ql_ass_bs.balance.d11",12,2004-01-01,2026-03-01
"raw","ch.kof.inu.ng08.fx.sector_mig.cons_gd.q_ql_ass_bs.balance.d11",12,2004-01-01,2026-03-01
"raw","ch.kof.inu.ng08.fx.sector_mig.imd_gd.q_ql_ass_bs.balance.d11",12,2004-01-01,2026-03-01
"raw","trendecon",48,2006-01-01,2025-08-17
"raw","Arbeitsmarkt",48,2006-01-01,2026-04-02
"raw","traffic_PW",48,2006-01-01,2026-01-24
"raw","traffic_LW",48,2006-01-01,2026-01-24
"raw","Lkw-Maut-Fahrleistungsindex_DE",48,2008-01-01,2026-03-10
"raw","electricity_out",48,2009-01-01,2026-01-01
"raw","electricity_in",48,2009-01-01,2026-01-01
"raw","zrh_airport_departure",48,2019-01-01,2026-01-01
"raw","zrh_airport_arrivals",48,2019-01-01,2026-01-01
"raw","mobility_retail_and_recreation",48,2020-02-16,2022-10-09
"raw","mobility_grocery_and_pharmacy",48,2020-02-16,2022-10-09
"raw","mobility_parks",48,2020-02-16,2022-10-09
"raw","mobility_transit_stations",48,2020-02-16,2022-10-09
"raw","mobility_workplaces",48,2020-02-16,2022-10-09
"raw","mobility_residential",48,2020-02-16,2022-10-09
"raw","ch.ozd.e.wa.index.re.d11",12,1997-01-01,2025-11-01
"raw","ch.ozd.i.wa.index.re.d11",12,1997-01-01,2025-11-01
"raw","VIX",48,1999-01-01,2026-04-10
