"stage","series","frequency","date","time_index","value"
"raw","SWGBOND.",12,1950-01-01,1950,2.63
"raw","SWGBOND.",12,1950-02-01,1950.08333333333,2.56
"raw","SWGBOND.",12,1950-03-01,1950.16666666667,2.6
"raw","SWGBOND.",12,1950-04-01,1950.25,2.55
"raw","SWGBOND.",12,1950-05-01,1950.33333333333,2.54
"raw","SWGBOND.",12,1950-06-01,1950.41666666667,2.61
"raw","SWGBOND.",12,1950-07-01,1950.5,2.64
"raw","SWGBOND.",12,1950-08-01,1950.58333333333,2.67
"raw","SWGBOND.",12,1950-09-01,1950.66666666667,2.71
"raw","SWGBOND.",12,1950-10-01,1950.75,2.79
"raw","SWGBOND.",12,1950-11-01,1950.83333333333,2.87
"raw","SWGBOND.",12,1950-12-01,1950.91666666667,2.9
"raw","SWGBOND.",12,1951-01-01,1951,2.83
"raw","SWGBOND.",12,1951-02-01,1951.08333333333,2.84
"raw","SWGBOND.",12,1951-03-01,1951.16666666667,2.93
"raw","SWGBOND.",12,1951-04-01,1951.25,2.99
"raw","SWGBOND.",12,1951-05-01,1951.33333333333,2.98
"raw","SWGBOND.",12,1951-06-01,1951.41666666667,3
"raw","SWGBOND.",12,1951-07-01,1951.5,2.95
"raw","SWGBOND.",12,1951-08-01,1951.58333333333,2.97
"raw","SWGBOND.",12,1951-09-01,1951.66666666667,2.98
"raw","SWGBOND.",12,1951-10-01,1951.75,3.01
"raw","SWGBOND.",12,1951-11-01,1951.83333333333,2.97
"raw","SWGBOND.",12,1951-12-01,1951.91666666667,2.99
"raw","SWGBOND.",12,1952-01-01,1952,2.87
"raw","SWGBOND.",12,1952-02-01,1952.08333333333,2.81
"raw","SWGBOND.",12,1952-03-01,1952.16666666667,2.79
"raw","SWGBOND.",12,1952-04-01,1952.25,2.81
"raw","SWGBOND.",12,1952-05-01,1952.33333333333,2.93
"raw","SWGBOND.",12,1952-06-01,1952.41666666667,2.89
"raw","SWGBOND.",12,1952-07-01,1952.5,2.85
"raw","SWGBOND.",12,1952-08-01,1952.58333333333,2.85
"raw","SWGBOND.",12,1952-09-01,1952.66666666667,2.84
"raw","SWGBOND.",12,1952-10-01,1952.75,2.83
"raw","SWGBOND.",12,1952-11-01,1952.83333333333,2.82
"raw","SWGBOND.",12,1952-12-01,1952.91666666667,2.78
"raw","SWGBOND.",12,1953-01-01,1953,2.62
"raw","SWGBOND.",12,1953-02-01,1953.08333333333,2.6
"raw","SWGBOND.",12,1953-03-01,1953.16666666667,2.61
"raw","SWGBOND.",12,1953-04-01,1953.25,2.6
"raw","SWGBOND.",12,1953-05-01,1953.33333333333,2.5
"raw","SWGBOND.",12,1953-06-01,1953.41666666667,2.52
"raw","SWGBOND.",12,1953-07-01,1953.5,2.52
"raw","SWGBOND.",12,1953-08-01,1953.58333333333,2.5
"raw","SWGBOND.",12,1953-09-01,1953.66666666667,2.5
"raw","SWGBOND.",12,1953-10-01,1953.75,2.48
"raw","SWGBOND.",12,1953-11-01,1953.83333333333,2.52
"raw","SWGBOND.",12,1953-12-01,1953.91666666667,2.51
"raw","SWGBOND.",12,1954-01-01,1954,2.5
"raw","SWGBOND.",12,1954-02-01,1954.08333333333,2.47
"raw","SWGBOND.",12,1954-03-01,1954.16666666667,2.48
"raw","SWGBOND.",12,1954-04-01,1954.25,2.63
"raw","SWGBOND.",12,1954-05-01,1954.33333333333,2.65
"raw","SWGBOND.",12,1954-06-01,1954.41666666667,2.68
"raw","SWGBOND.",12,1954-07-01,1954.5,2.61
"raw","SWGBOND.",12,1954-08-01,1954.58333333333,2.65
"raw","SWGBOND.",12,1954-09-01,1954.66666666667,2.68
"raw","SWGBOND.",12,1954-10-01,1954.75,2.69
"raw","SWGBOND.",12,1954-11-01,1954.83333333333,2.72
"raw","SWGBOND.",12,1954-12-01,1954.91666666667,2.74
"raw","SWGBOND.",12,1955-01-01,1955,2.7
"raw","SWGBOND.",12,1955-02-01,1955.08333333333,2.75
"raw","SWGBOND.",12,1955-03-01,1955.16666666667,2.84
"raw","SWGBOND.",12,1955-04-01,1955.25,2.85
"raw","SWGBOND.",12,1955-05-01,1955.33333333333,2.99
"raw","SWGBOND.",12,1955-06-01,1955.41666666667,3.06
"raw","SWGBOND.",12,1955-07-01,1955.5,3.04
"raw","SWGBOND.",12,1955-08-01,1955.58333333333,3.08
"raw","SWGBOND.",12,1955-09-01,1955.66666666667,3.2
