;Germany, Truck Toll Mileage Index, Total, Calendar Adjusted (X13 JDemetra+), SA (X13 JDemetra+), Index, 7 Day Moving Average
04.01.2008;84.9
05.01.2008;87.3
06.01.2008;86
07.01.2008;84.4
08.01.2008;84
09.01.2008;86.5
10.01.2008;88.3
11.01.2008;87.4
12.01.2008;87.3
13.01.2008;87.3
14.01.2008;87.5
15.01.2008;87.5
16.01.2008;87.2
17.01.2008;86.9
18.01.2008;86.9
19.01.2008;86.8
20.01.2008;86.8
21.01.2008;86.8
22.01.2008;86.8
23.01.2008;86.6
24.01.2008;86.7
25.01.2008;86.8
26.01.2008;86.9
27.01.2008;86.8
28.01.2008;86.8
29.01.2008;86.6
30.01.2008;86.7
31.01.2008;86.7
01.02.2008;86.4
02.02.2008;86.1
03.02.2008;86
04.02.2008;86
05.02.2008;86.1
06.02.2008;86.2
07.02.2008;86.3
08.02.2008;86.6
09.02.2008;86.9
10.02.2008;87.2
11.02.2008;87.4
12.02.2008;87.5
13.02.2008;87.5
14.02.2008;87.5
15.02.2008;87.5
16.02.2008;87.7
17.02.2008;87.7
18.02.2008;87.7
19.02.2008;87.6
20.02.2008;87.7
21.02.2008;87.7
22.02.2008;87.7
23.02.2008;87.6
24.02.2008;87.6
25.02.2008;87.7
26.02.2008;87.6
27.02.2008;87.4
28.02.2008;87.4
29.02.2008;87.2
01.03.2008;87.1
02.03.2008;87
03.03.2008;86.9
04.03.2008;86.9
05.03.2008;87.1
06.03.2008;86.9
07.03.2008;87.1
08.03.2008;87.2
09.03.2008;87.4
10.03.2008;87.5
11.03.2008;87.6
12.03.2008;87.9
13.03.2008;87.9
14.03.2008;88
15.03.2008;88.3
16.03.2008;88.5
17.03.2008;88.9
18.03.2008;88.6
19.03.2008;88.2
20.03.2008;87.8
21.03.2008;87.5
22.03.2008;87.2
23.03.2008;86.4
24.03.2008;86.1
25.03.2008;86.5
26.03.2008;86.6
27.03.2008;86.7
28.03.2008;86.4
29.03.2008;85.9
30.03.2008;85.7
31.03.2008;85.2
01.04.2008;84.5
02.04.2008;83.7
03.04.2008;83.5
04.04.2008;83.2
05.04.2008;83.2
06.04.2008;83
07.04.2008;82.6
08.04.2008;82.5
09.04.2008;82.7
10.04.2008;82.5
11.04.2008;82.4
12.04.2008;82.5
13.04.2008;82.6
14.04.2008;83
15.04.2008;83.1
16.04.2008;83.1
17.04.2008;83.6
18.04.2008;83.9
19.04.2008;83.9
20.04.2008;84.2
21.04.2008;84.2
22.04.2008;84.2
23.04.2008;84.2
24.04.2008;84.2
25.04.2008;84.2
26.04.2008;84.3
27.04.2008;84.9
28.04.2008;84.6
29.04.2008;83.7
30.04.2008;83
01.05.2008;83.1
02.05.2008;82.8
03.05.2008;82.9
04.05.2008;82.3
05.05.2008;82.5
06.05.2008;83.6
07.05.2008;84.4
08.05.2008;84.4
09.05.2008;84.4
10.05.2008;85
11.05.2008;85.7
12.05.2008;86.1
13.05.2008;86.7
14.05.2008;87.2
15.05.2008;87.3
16.05.2008;87.8
17.05.2008;87.7
18.05.2008;87.3
19.05.2008;86.4
20.05.2008;85.5
21.05.2008;84.7
22.05.2008;84.5
23.05.2008;84.2
24.05.2008;83.5
25.05.2008;83.1
26.05.2008;83.5
27.05.2008;83.5
28.05.2008;83.7
29.05.2008;83.4
30.05.2008;83
31.05.2008;83
01.06.2008;83
02.06.2008;82.9
03.06.2008;83.1
04.06.2008;83.1
05.06.2008;83.3
06.06.2008;83.4
07.06.2008;83.4
08.06.2008;83.1
09.06.2008;82.9
10.06.2008;82.7
11.06.2008;82.5
12.06.2008;82.4
13.06.2008;82.6
14.06.2008;82.5
15.06.2008;82.7
16.06.2008;82.8
17.06.2008;82.9
18.06.2008;82.9
19.06.2008;82.9
20.06.2008;82.7
21.06.2008;82.8
22.06.2008;82.7
23.06.2008;82.8
24.06.2008;82.8
25.06.2008;83.1
26.06.2008;83.2
27.06.2008;83.1
28.06.2008;83.1
29.06.2008;83.2
30.06.2008;83.2
01.07.2008;83.4
02.07.2008;82.9
03.07.2008;83
04.07.2008;83.3
05.07.2008;83.3
06.07.2008;83.3
07.07.2008;83.4
08.07.2008;83.1
09.07.2008;83.1
10.07.2008;83
11.07.2008;82.8
12.07.2008;82.6
13.07.2008;82.5
14.07.2008;82.4
15.07.2008;82.4
16.07.2008;82.5
17.07.2008;82.4
18.07.2008;82.3
19.07.2008;82.3
20.07.2008;82.4
21.07.2008;82.3
22.07.2008;82.2
23.07.2008;82.2
24.07.2008;82.1
25.07.2008;82
26.07.2008;81.9
27.07.2008;81.7
28.07.2008;81.6
29.07.2008;81.5
30.07.2008;81.7
31.07.2008;81.8
01.08.2008;81.8
02.08.2008;81.8
03.08.2008;81.9
04.08.2008;81.9
05.08.2008;81.9
06.08.2008;81.8
07.08.2008;81.9
08.08.2008;82
09.08.2008;82.1
10.08.2008;82.2
11.08.2008;82
12.08.2008;81.6
13.08.2008;81.5
14.08.2008;81.6
15.08.2008;81.5
16.08.2008;81.5
17.08.2008;81.7
18.08.2008;82.1
19.08.2008;82.6
20.08.2008;82.5
21.08.2008;82.7
22.08.2008;83
23.08.2008;83.1
24.08.2008;83.1
25.08.2008;83.2
26.08.2008;83.4
27.08.2008;83.3
28.08.2008;83.2
29.08.2008;83.2
30.08.2008;83.1
31.08.2008;83.1
01.09.2008;83.1
02.09.2008;83.1
03.09.2008;83.5
04.09.2008;83.3
05.09.2008;83.2
06.09.2008;83.2
07.09.2008;83.2
08.09.2008;83.2
09.09.2008;83
10.09.2008;82.9
11.09.2008;82.8
12.09.2008;82.8
13.09.2008;82.8
14.09.2008;82.7
15.09.2008;82.7
16.09.2008;83
17.09.2008;82.7
18.09.2008;82.7
19.09.2008;82.6
20.09.2008;82.5
21.09.2008;82.5
22.09.2008;82.4
23.09.2008;82.2
24.09.2008;82.5
25.09.2008;82.5
26.09.2008;82.6
27.09.2008;82.6
28.09.2008;82.6
29.09.2008;82.1
30.09.2008;81
01.10.2008;80.5
02.10.2008;80.1
03.10.2008;80.3
04.10.2008;80.3
05.10.2008;80.2
06.10.2008;80.8
07.10.2008;82
08.10.2008;82.4
09.10.2008;82.7
10.10.2008;82.3
11.10.2008;82.3
12.10.2008;82.3
13.10.2008;82.1
14.10.2008;82
15.10.2008;81.9
16.10.2008;81.8
17.10.2008;81.9
18.10.2008;81.7
19.10.2008;81.5
20.10.2008;81.4
21.10.2008;81.2
22.10.2008;81.1
23.10.2008;81.2
24.10.2008;81
25.10.2008;80.8
26.10.2008;80.6
27.10.2008;80.3
28.10.2008;79.9
29.10.2008;79.9
30.10.2008;79.9
31.10.2008;80.2
01.11.2008;80.3
02.11.2008;80.1
03.11.2008;80.3
04.11.2008;80.5
05.11.2008;80.1
06.11.2008;79.7
07.11.2008;79.2
08.11.2008;79
09.11.2008;78.8
10.11.2008;78.7
11.11.2008;78.7
12.11.2008;78.9
13.11.2008;78.9
14.11.2008;79
15.11.2008;79.1
16.11.2008;79
17.11.2008;79
18.11.2008;78.8
19.11.2008;78.6
20.11.2008;78.5
21.11.2008;78.1
22.11.2008;78
23.11.2008;78.3
24.11.2008;78.2
25.11.2008;78.3
26.11.2008;78.5
27.11.2008;78.6
28.11.2008;78.8
29.11.2008;79.1
30.11.2008;79.1
01.12.2008;79
02.12.2008;79
03.12.2008;78.9
04.12.2008;78.8
05.12.2008;78.5
06.12.2008;78.1
07.12.2008;78.1
08.12.2008;78
09.12.2008;78
10.12.2008;78.1
11.12.2008;78.2
12.12.2008;78.1
13.12.2008;78
14.12.2008;77.7
15.12.2008;77.2
16.12.2008;76.3
17.12.2008;76.8
18.12.2008;73.2
19.12.2008;72.6
20.12.2008;72.7
21.12.2008;72.2
22.12.2008;71.8
23.12.2008;71.3
24.12.2008;69.6
25.12.2008;72.4
26.12.2008;72.9
27.12.2008;72.9
28.12.2008;73.3
29.12.2008;73.3
30.12.2008;72.8
31.12.2008;70.9
01.01.2009;68.2
02.01.2009;68
03.01.2009;68.6
04.01.2009;68.1
05.01.2009;68.1
06.01.2009;69.1
07.01.2009;72
08.01.2009;75.5
09.01.2009;75.2
10.01.2009;74.2
11.01.2009;74.8
12.01.2009;75.5
13.01.2009;76.1
14.01.2009;75.8
15.01.2009;75.4
16.01.2009;75.7
17.01.2009;75.8
18.01.2009;76.1
19.01.2009;76.1
20.01.2009;76
21.01.2009;76
22.01.2009;75.9
23.01.2009;76
24.01.2009;76
25.01.2009;75.8
26.01.2009;75.8
27.01.2009;75.8
28.01.2009;75.7
29.01.2009;75.7
30.01.2009;75.8
31.01.2009;75.7
01.02.2009;75.5
02.02.2009;75.3
03.02.2009;75.4
04.02.2009;75.5
05.02.2009;75.4
06.02.2009;75.2
07.02.2009;75.1
08.02.2009;75
09.02.2009;75
10.02.2009;74.8
11.02.2009;74.7
12.02.2009;74.6
13.02.2009;74.4
14.02.2009;74.3
15.02.2009;74.1
16.02.2009;73.9
17.02.2009;73.5
18.02.2009;73.3
19.02.2009;73.1
20.02.2009;72.5
21.02.2009;71.9
22.02.2009;71.3
23.02.2009;71
24.02.2009;71
25.02.2009;71
26.02.2009;70.9
27.02.2009;71.4
28.02.2009;71.9
01.03.2009;72.3
02.03.2009;72.5
03.03.2009;72.6
04.03.2009;72.5
05.03.2009;72.5
06.03.2009;72.4
07.03.2009;72.3
08.03.2009;72.2
09.03.2009;72.1
10.03.2009;72.1
11.03.2009;72
12.03.2009;71.8
13.03.2009;71.7
14.03.2009;71.7
15.03.2009;71.6
16.03.2009;71.4
17.03.2009;71.2
18.03.2009;71.1
19.03.2009;71.1
20.03.2009;71
21.03.2009;70.8
22.03.2009;70.6
23.03.2009;70.6
24.03.2009;70.5
25.03.2009;70.3
26.03.2009;70.1
27.03.2009;70
28.03.2009;70
29.03.2009;70.2
30.03.2009;70.2
31.03.2009;70.5
01.04.2009;70.8
02.04.2009;71
03.04.2009;71.3
04.04.2009;71.7
05.04.2009;72.1
06.04.2009;72.7
07.04.2009;74
08.04.2009;74.3
09.04.2009;74.5
10.04.2009;76.1
11.04.2009;76.3
12.04.2009;76.1
13.04.2009;76
14.04.2009;74.8
15.04.2009;74.8
16.04.2009;74.9
17.04.2009;73.1
18.04.2009;72.5
19.04.2009;72.4
20.04.2009;72.2
21.04.2009;71.9
22.04.2009;71.4
23.04.2009;71.3
24.04.2009;71.6
25.04.2009;71.8
26.04.2009;72
27.04.2009;71.1
28.04.2009;71
29.04.2009;70.6
30.04.2009;70.8
01.05.2009;70.9
02.05.2009;71
03.05.2009;71.1
04.05.2009;72.2
05.05.2009;72.3
06.05.2009;72.8
07.05.2009;72.6
08.05.2009;72
09.05.2009;71.7
10.05.2009;71.3
11.05.2009;71.2
12.05.2009;71.1
13.05.2009;71
14.05.2009;71
15.05.2009;71.5
16.05.2009;72.1
17.05.2009;72.2
18.05.2009;73
19.05.2009;72.6
20.05.2009;72.2
21.05.2009;72.1
22.05.2009;72
23.05.2009;71.6
24.05.2009;71.5
25.05.2009;70.5
26.05.2009;71.1
27.05.2009;71.4
28.05.2009;71.6
29.05.2009;72.8
30.05.2009;73.6
31.05.2009;74.1
01.06.2009;74.7
02.06.2009;75.3
03.06.2009;75.7
04.06.2009;75.8
05.06.2009;74.8
