date,total_anfluege,total_abfluege
2019-01-01,298,294
2019-01-02,351,353
2019-01-03,337,336
2019-01-04,356,358
2019-01-05,315,317
2019-01-06,354,355
2019-01-07,349,348
2019-01-08,334,320
2019-01-09,340,341
2019-01-10,317,319
2019-01-11,348,348
2019-01-12,285,293
2019-01-13,339,339
2019-01-14,339,339
2019-01-15,330,325
2019-01-16,337,347
2019-01-17,349,347
2019-01-18,372,374
2019-01-19,289,298
2019-01-20,358,355
2019-01-21,410,386
2019-01-22,366,339
2019-01-23,360,357
2019-01-24,377,394
2019-01-25,411,447
2019-01-26,304,300
2019-01-27,328,336
2019-01-28,338,343
2019-01-29,328,318
2019-01-30,338,336
2019-01-31,351,353
2019-02-01,360,351
2019-02-02,278,282
2019-02-03,314,328
2019-02-04,331,323
2019-02-05,341,325
2019-02-06,336,345
2019-02-07,341,344
2019-02-08,355,361
2019-02-09,309,298
2019-02-10,328,337
2019-02-11,340,340
2019-02-12,334,322
2019-02-13,337,351
2019-02-14,354,360
2019-02-15,365,364
2019-02-16,316,309
2019-02-17,346,349
2019-02-18,339,340
2019-02-19,339,336
2019-02-20,356,354
2019-02-21,371,369
2019-02-22,372,380
2019-02-23,323,317
2019-02-24,352,354
2019-02-25,352,351
2019-02-26,338,330
2019-02-27,362,370
2019-02-28,357,364
2019-03-01,367,368
2019-03-02,303,303
2019-03-03,341,342
2019-03-04,355,348
2019-03-05,332,320
2019-03-06,348,350
2019-03-07,360,357
2019-03-08,376,370
2019-03-09,296,304
2019-03-10,343,350
2019-03-11,351,347
2019-03-12,331,326
2019-03-13,346,348
2019-03-14,362,364
2019-03-15,373,365
2019-03-16,299,302
2019-03-17,349,349
2019-03-18,362,366
2019-03-19,343,337
2019-03-20,346,359
2019-03-21,359,359
2019-03-22,373,365
2019-03-23,295,304
2019-03-24,343,345
2019-03-25,372,360
2019-03-26,349,349
2019-03-27,354,357
2019-03-28,362,356
2019-03-29,375,380
2019-03-30,302,307
2019-03-31,354,358
2019-04-01,380,377
2019-04-02,373,372
2019-04-03,372,374
2019-04-04,377,376
2019-04-05,396,395
2019-04-06,352,355
2019-04-07,376,377
2019-04-08,399,387
2019-04-09,373,383
2019-04-10,379,378
2019-04-11,391,386
2019-04-12,398,401
2019-04-13,353,358
2019-04-14,384,377
2019-04-15,382,389
2019-04-16,377,370
2019-04-17,381,388
2019-04-18,405,417
2019-04-19,389,395
2019-04-20,346,349
2019-04-21,364,364
2019-04-22,390,379
2019-04-23,374,368
2019-04-24,371,370
2019-04-25,389,391
