country_region_code;country_region;sub_region_1;sub_region_2;metro_area;iso_3166_2_code;census_fips_code;place_id;date;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;15.02.2020;-1;-1;31;6;-2;-1
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;16.02.2020;10;12;30;8;-2;-1
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;17.02.2020;-3;-4;-3;-2;-1;1
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;18.02.2020;3;1;34;3;-2;1
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;19.02.2020;-4;-4;-11;-4;-3;1
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;20.02.2020;2;-1;46;5;-5;0
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;21.02.2020;-1;-1;26;1;-6;1
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;22.02.2020;1;0;57;14;-1;-2
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;23.02.2020;14;18;27;13;0;-1
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;24.02.2020;6;3;74;7;-3;0
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;25.02.2020;4;6;17;3;-4;1
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;26.02.2020;-5;0;-20;-5;-4;2
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;27.02.2020;-5;1;-22;-5;-5;2
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;28.02.2020;-1;8;16;-1;-4;2
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;29.02.2020;-6;4;-14;-7;-2;2
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;01.03.2020;3;8;29;2;-1;1
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;02.03.2020;-7;-1;-24;-7;-1;3
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;03.03.2020;-1;4;7;-3;0;2
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;04.03.2020;-3;1;8;-2;-1;1
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;05.03.2020;-11;-4;-36;-11;-2;3
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;06.03.2020;-6;1;-12;-8;-2;3
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;07.03.2020;-4;2;-3;-9;-2;3
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;08.03.2020;6;7;47;3;-3;0
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;09.03.2020;-8;-1;-17;-8;0;3
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;10.03.2020;-10;-1;-26;-10;-1;4
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;11.03.2020;-7;2;10;-6;-2;3
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;12.03.2020;-11;8;-1;-11;-4;4
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;13.03.2020;-13;24;1;-15;-6;5
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;14.03.2020;-25;12;-6;-26;-7;8
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;15.03.2020;-27;2;66;-16;-13;5
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;16.03.2020;-17;24;14;-30;-20;10
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;17.03.2020;-57;1;21;-42;-33;17
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;18.03.2020;-62;-4;22;-45;-38;18
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;19.03.2020;-65;-10;19;-51;-46;21
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;20.03.2020;-67;-4;-11;-56;-45;24
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;21.03.2020;-78;-26;-29;-62;-43;19
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;22.03.2020;-82;-49;-40;-66;-45;15
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;23.03.2020;-68;-20;-19;-59;-46;22
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;24.03.2020;-69;-19;-5;-58;-49;24
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;25.03.2020;-70;-19;-20;-59;-49;23
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;26.03.2020;-70;-18;-23;-61;-50;24
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;27.03.2020;-69;-13;-3;-58;-49;26
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;28.03.2020;-73;-19;18;-53;-43;17
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;29.03.2020;-81;-51;-41;-68;-46;15
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;30.03.2020;-71;-22;-46;-62;-48;23
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;31.03.2020;-84;-2;1;-53;-49;23
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;01.04.2020;-84;-5;7;-52;-48;22
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;02.04.2020;-84;-3;8;-53;-50;23
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;03.04.2020;-79;2;8;-54;-48;25
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;04.04.2020;-82;-5;15;-51;-42;17
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;05.04.2020;-76;-25;42;-48;-42;12
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;06.04.2020;-76;-5;21;-51;-47;21
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;07.04.2020;-72;1;42;-50;-48;21
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;08.04.2020;-72;9;26;-51;-48;20
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;09.04.2020;-70;25;22;-50;-50;21
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;10.04.2020;-87;-75;75;-61;-85;34
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;11.04.2020;-77;11;27;-47;-41;15
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;12.04.2020;-78;-30;33;-49;-39;11
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;13.04.2020;-86;-80;83;-61;-85;30
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;14.04.2020;-73;-4;11;-52;-47;21
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;15.04.2020;-74;-14;30;-49;-46;20
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;16.04.2020;-72;-14;30;-51;-47;21
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;17.04.2020;-72;-10;39;-50;-46;22
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;18.04.2020;-76;-14;33;-46;-36;15
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;19.04.2020;-74;-21;36;-46;-36;11
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;20.04.2020;-70;-21;15;-51;-43;20
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;21.04.2020;-71;-15;17;-50;-43;20
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;22.04.2020;-70;-16;46;-46;-42;19
CH;Switzerland;;;;;;ChIJYW1Zb-9kjEcRFXvLDxG1Vlw;23.04.2020;-70;-12;44;-47;-43;19
