Name;SWITZ-DS Financials - PRICE INDEX;SWITZ-DS Industrials - PRICE INDEX;SWISS MARKET (SMI) - PRICE INDEX
01.01.1973;100;100;
02.01.1973;100;100;
03.01.1973;100.72;100.96;
04.01.1973;100.67;101;
05.01.1973;100.82;101.12;
08.01.1973;100.44;100.4;
09.01.1973;99.98;100.16;
10.01.1973;100.83;100.09;
11.01.1973;101.84;100.97;
12.01.1973;103.05;101.29;
15.01.1973;102.79;102.03;
16.01.1973;102.59;101.12;
17.01.1973;101.61;100.87;
18.01.1973;103.88;100.89;
19.01.1973;106.1;101.1;
22.01.1973;106.29;101.87;
23.01.1973;106.05;100.17;
24.01.1973;106.41;100.61;
25.01.1973;105.86;100.35;
26.01.1973;104.81;99.62;
29.01.1973;105.7;99.3;
30.01.1973;104.11;98.84;
31.01.1973;104.33;98.42;
01.02.1973;105.55;98;
02.02.1973;105.68;96.75;
05.02.1973;106;96.47;
06.02.1973;105.61;96.26;
07.02.1973;105.68;96.53;
08.02.1973;104.9;96.62;
09.02.1973;104.37;95.86;
12.02.1973;104.45;96.7;
13.02.1973;104.66;97.6;
14.02.1973;104.9;96.45;
15.02.1973;104;94.78;
16.02.1973;102.74;93.95;
19.02.1973;102.64;93.94;
20.02.1973;103.66;94.64;
21.02.1973;103.12;94.74;
22.02.1973;102.88;94.6;
23.02.1973;102.18;92.59;
26.02.1973;100.51;90.52;
27.02.1973;100.29;90.07;
28.02.1973;97.1;87.68;
01.03.1973;96.6;86.54;
02.03.1973;95.33;86.02;
05.03.1973;96.11;87.32;
06.03.1973;96.94;87.61;
07.03.1973;97.81;88.29;
08.03.1973;99.76;88.58;
09.03.1973;99.11;88.48;
12.03.1973;99.54;87.74;
13.03.1973;99.76;87.62;
14.03.1973;100.59;87.66;
15.03.1973;100.32;87.74;
16.03.1973;100.28;88.5;
19.03.1973;99.67;89.27;
20.03.1973;99.45;88.13;
21.03.1973;99.56;87.79;
22.03.1973;99.22;87.21;
23.03.1973;98.52;86.57;
26.03.1973;97.88;87.1;
27.03.1973;98.61;87.09;
28.03.1973;98.98;87.83;
29.03.1973;99.12;87.83;
30.03.1973;99.76;87.76;
02.04.1973;99.73;87.41;
03.04.1973;99.17;87.15;
04.04.1973;99.96;87.12;
05.04.1973;99.48;87.85;
06.04.1973;99.44;88.23;
09.04.1973;99.44;87.4;
10.04.1973;99.48;87.43;
11.04.1973;99.81;87.42;
12.04.1973;99.33;87.55;
13.04.1973;98.83;87.83;
16.04.1973;97.97;86.78;
17.04.1973;97.61;86.34;
18.04.1973;96.94;86.49;
19.04.1973;97.84;86.53;
20.04.1973;97.79;86.53;
23.04.1973;97.79;86.51;
24.04.1973;97.3;86.86;
25.04.1973;97.31;86.5;
26.04.1973;96.55;87.09;
27.04.1973;95.66;87.05;
30.04.1973;95.39;88.06;
01.05.1973;95.39;88.06;
02.05.1973;96.34;88.54;
03.05.1973;95.93;88.59;
04.05.1973;95.94;88.39;
07.05.1973;95.58;87.95;
08.05.1973;94.97;87.26;
09.05.1973;95.77;87.41;
10.05.1973;97.56;86.23;
11.05.1973;96.71;85.82;
14.05.1973;96.71;86.99;
15.05.1973;96.64;87.22;
16.05.1973;96.71;86.9;
17.05.1973;97.3;86.93;
18.05.1973;97.5;87.18;
21.05.1973;95.93;87.83;
22.05.1973;96.36;87.59;
23.05.1973;96.44;88.04;
24.05.1973;97.27;89.47;
25.05.1973;98.48;90.19;
28.05.1973;98.48;90.21;
29.05.1973;97.59;89.91;
30.05.1973;97.29;90.28;
31.05.1973;97.29;90.28;
01.06.1973;98.46;90.37;
04.06.1973;98.49;90.25;
05.06.1973;97.69;89.92;
06.06.1973;98.31;90.4;
07.06.1973;98.02;90.43;
08.06.1973;98.32;90.77;
11.06.1973;98.43;90.8;
12.06.1973;98.3;90.24;
13.06.1973;98.71;90.4;
14.06.1973;99.58;91.03;
15.06.1973;99.95;92.01;
18.06.1973;99.41;91.89;
19.06.1973;99.6;91.88;
20.06.1973;99.88;92.07;
21.06.1973;100.14;92.38;
22.06.1973;100.48;92.38;
25.06.1973;100.34;92.26;
26.06.1973;100.66;92.05;
27.06.1973;101.29;92.37;
28.06.1973;100.96;93.13;
29.06.1973;101.92;92.72;
