Name;SW CPI SADJ;SW PPI (2025M12=100) SADJ;SW CORE INFLATION 1 NADJ;SW PURCHASING MANAGERS INDEX SADJ;SW PURCHASING MANAGERS INDEX - BACKLOG OF ORDERS SADJ;SW PURCHASING MANAGERS INDEX - OUTPUT SADJ
15.01.1953;20.800119;;;;;
15.02.1953;20.808713;;;;;
15.03.1953;20.756991;;;;;
15.04.1953;20.772252;;;;;
15.05.1953;20.774581;;;;;
15.06.1953;20.789795;;;;;
15.07.1953;20.767063;;;;;
15.08.1953;20.721401;;;;;
15.09.1953;20.800212;;;;;
15.10.1953;20.758562;;;;;
15.11.1953;20.762892;;;;;
15.12.1953;20.695115;;;;;
15.01.1954;20.810415;;;;;
15.02.1954;20.833746;;;;;
15.03.1954;20.837449;;;;;
15.04.1954;20.868887;;;;;
15.05.1954;20.761302;;;;;
15.06.1954;20.878987;;;;;
15.07.1954;20.946324;;;;;
15.08.1954;20.990247;;;;;
15.09.1954;20.997429;;;;;
15.10.1954;21.05001;;;;;
15.11.1954;21.037087;;;;;
15.12.1954;21.064149;;;;;
15.01.1955;21.098674;;;;;
15.02.1955;21.119686;;;;;
15.03.1955;21.032842;;;;;
15.04.1955;21.160579;;;;;
15.05.1955;21.023574;;;;;
15.06.1955;21.035834;;;;;
15.07.1955;21.043446;;;;;
15.08.1955;21.10017;;;;;
15.09.1955;21.08806;;;;;
15.10.1955;21.155463;;;;;
15.11.1955;21.128401;;;;;
15.12.1955;21.151424;;;;;
15.01.1956;21.169771;;;;;
15.02.1956;21.203463;;;;;
15.03.1956;21.316014;;;;;
15.04.1956;21.361535;;;;;
15.05.1956;21.407178;;;;;
15.06.1956;21.418633;;;;;
15.07.1956;21.498044;;;;;
15.08.1956;21.483372;;;;;
15.09.1956;21.551027;;;;;
15.10.1956;21.53556;;;;;
15.11.1956;21.596334;;;;;
15.12.1956;21.615382;;;;;
15.01.1957;21.730055;;;;;
15.02.1957;21.636179;;;;;
15.03.1957;21.686844;;;;;
15.04.1957;21.728251;;;;;
15.05.1957;21.782478;;;;;
15.06.1957;21.790455;;;;;
15.07.1957;21.810354;;;;;
15.08.1957;21.93277;;;;;
15.09.1957;21.942954;;;;;
15.10.1957;21.993469;;;;;
15.11.1957;22.077723;;;;;
15.12.1957;22.093461;;;;;
15.01.1958;22.104776;;;;;
15.02.1958;22.103971;;;;;
15.03.1958;22.15414;;;;;
15.04.1958;22.195921;;;;;
15.05.1958;22.249176;;;;;
15.06.1958;22.351936;;;;;
15.07.1958;22.369339;;;;;
15.08.1958;22.306686;;;;;
15.09.1958;22.320722;;;;;
15.10.1958;22.276697;;;;;
15.11.1958;22.267215;;;;;
15.12.1958;22.281251;;;;;
15.01.1959;22.199185;;;;;
15.02.1959;22.195304;;;;;
15.03.1959;22.150718;;;;;
15.04.1959;22.094658;;;;;
15.05.1959;22.062368;;;;;
15.06.1959;21.976468;;;;;
15.07.1959;21.987456;;;;;
15.08.1959;22.028133;;;;;
15.09.1959;22.139534;;;;;
