Name;SW CONFEDERATION BOND YIELD - 10 YEARS NADJ
31.01.1950;2.63
28.02.1950;2.56
31.03.1950;2.6
28.04.1950;2.55
31.05.1950;2.54
30.06.1950;2.61
31.07.1950;2.64
31.08.1950;2.67
29.09.1950;2.71
31.10.1950;2.79
30.11.1950;2.87
29.12.1950;2.9
31.01.1951;2.83
28.02.1951;2.84
30.03.1951;2.93
30.04.1951;2.99
31.05.1951;2.98
29.06.1951;3
31.07.1951;2.95
31.08.1951;2.97
28.09.1951;2.98
31.10.1951;3.01
30.11.1951;2.97
31.12.1951;2.99
31.01.1952;2.87
29.02.1952;2.81
31.03.1952;2.79
30.04.1952;2.81
30.05.1952;2.93
30.06.1952;2.89
31.07.1952;2.85
29.08.1952;2.85
30.09.1952;2.84
31.10.1952;2.83
28.11.1952;2.82
31.12.1952;2.78
30.01.1953;2.62
27.02.1953;2.6
31.03.1953;2.61
30.04.1953;2.6
29.05.1953;2.5
30.06.1953;2.52
31.07.1953;2.52
31.08.1953;2.5
30.09.1953;2.5
30.10.1953;2.48
30.11.1953;2.52
31.12.1953;2.51
29.01.1954;2.5
26.02.1954;2.47
31.03.1954;2.48
30.04.1954;2.63
31.05.1954;2.65
30.06.1954;2.68
30.07.1954;2.61
31.08.1954;2.65
30.09.1954;2.68
29.10.1954;2.69
30.11.1954;2.72
31.12.1954;2.74
31.01.1955;2.7
28.02.1955;2.75
31.03.1955;2.84
29.04.1955;2.85
31.05.1955;2.99
30.06.1955;3.06
29.07.1955;3.04
31.08.1955;3.08
30.09.1955;3.2
31.10.1955;3.17
30.11.1955;3.07
30.12.1955;3.04
31.01.1956;2.94
29.02.1956;2.91
30.03.1956;2.97
30.04.1956;3.06
31.05.1956;3.14
29.06.1956;3.18
31.07.1956;3.18
31.08.1956;3.24
28.09.1956;3.21
31.10.1956;3.22
30.11.1956;3.23
31.12.1956;3.22
31.01.1957;3.22
28.02.1957;3.16
29.03.1957;3.59
30.04.1957;3.55
31.05.1957;3.8
28.06.1957;3.77
31.07.1957;3.79
30.08.1957;3.87
30.09.1957;3.93
31.10.1957;3.92
29.11.1957;3.8
31.12.1957;3.61
31.01.1958;3.49
28.02.1958;3.41
31.03.1958;3.34
30.04.1958;3.24
30.05.1958;3.2
30.06.1958;3.03
31.07.1958;3.04
29.08.1958;3.04
30.09.1958;3.02
31.10.1958;3
28.11.1958;3.03
31.12.1958;3
30.01.1959;2.98
27.02.1959;2.91
31.03.1959;2.85
30.04.1959;2.83
29.05.1959;3.14
30.06.1959;3.22
31.07.1959;3.14
31.08.1959;3.06
30.09.1959;3.16
30.10.1959;3.17
30.11.1959;3.17
31.12.1959;3.29
29.01.1960;3.32
29.02.1960;3.3
31.03.1960;3.22
29.04.1960;3.13
31.05.1960;3.07
30.06.1960;3.04
29.07.1960;2.97
31.08.1960;2.94
30.09.1960;3.01
31.10.1960;3.05
30.11.1960;3.04
30.12.1960;3.02
31.01.1961;2.96
