"date","ch.fso.rtt.ind.r.noga0801.sa","ch.fso.rtt.ind.r.noga0803.sa","ch.fso.rtt.ind.r.noga0804.sa","ch.fso.rtt.ind.r.noga0805.sa","ch.fso.rtt.ind.r.noga0806.sa","ch.fso.rtt.ind.r.noga0807.sa","ch.fso.rtt.ind.r.noga0808.sa"
"2000-01",69.38,76.14,64.98,11.7,85.49,110.09,72.96
"2000-02",70.21,76.91,66.23,11.98,86.84,113.25,74.13
"2000-03",69.63,76.41,64.9,11.55,86.4,110.07,70.91
"2000-04",72.47,78.47,68.09,12.54,90.5,114.88,75.84
"2000-05",71.58,77.22,67.17,12.25,89.01,115.57,75.69
"2000-06",70.96,75.16,66.16,11.92,87.43,110.86,74.97
"2000-07",71.1,76.73,67.03,12.39,89.11,113.81,74.31
"2000-08",70.97,76.75,67.18,12.23,87.9,113.02,74.86
"2000-09",71.59,77.2,67.82,12.51,89.31,113.87,75.56
"2000-10",72.55,77.22,68.79,12.59,91.05,115.42,79.02
"2000-11",72.81,76.52,69.79,12.99,92.48,119.01,80.13
"2000-12",72.9,76.97,69.53,13.3,92.21,117.3,78.76
"2001-01",71.81,77.24,68.12,12.84,90.03,115.83,76.04
"2001-02",72.36,77.67,68.28,12.87,90.14,115.38,77.29
"2001-03",72.27,77.37,68.14,13.07,90.69,116.1,76.47
"2001-04",72.39,76.22,68.38,13.1,90.26,114.47,78.44
"2001-05",72.73,77.2,68.95,13.34,90.77,117.35,78.43
"2001-06",74.16,77.08,70.23,13.76,92.58,117.66,79.96
"2001-07",72.22,75.53,69.37,13.6,92.42,117.65,78.05
"2001-08",72.95,76.33,68.9,13.63,91.61,116.45,78.56
"2001-09",73.99,77.26,70.41,14.07,93.23,118.57,80.22
"2001-10",72.25,76.65,66.86,13.07,87.29,110.51,78.19
"2001-11",74.1,78.17,69.93,13.94,92.46,117.33,80.57
"2001-12",74.04,77.98,70.31,14.21,91.63,116.5,80.2
"2002-01",73.18,76.58,69.26,13.95,89.93,115.1,78.8
"2002-02",73.48,77.32,69.7,14.23,91.45,115.97,78.78
"2002-03",73.77,76.9,70.19,14.32,93.5,116.33,79.23
"2002-04",72.43,75.9,68.76,14.1,90.09,115.05,78.04
"2002-05",72.34,75.9,68.95,14.11,89.61,113.16,79.2
"2002-06",71.9,74.91,68.07,14.09,87.72,112.55,77.83
"2002-07",72.36,74.87,68.84,14.34,89.54,114.69,78.6
"2002-08",72.61,74.95,69.36,14.8,90.71,115.12,78.2
"2002-09",72.28,75.28,68.72,14.52,88.95,113.15,78.79
"2002-10",72.25,76.23,68.56,14.61,88.06,112.87,77.95
"2002-11",72.3,75.98,68.42,14.87,88.23,111.98,77.57
"2002-12",72.65,76.24,69.35,14.83,88.91,112.56,78.82
"2003-01",73.22,76.5,69.27,15,88.47,111.77,78.03
"2003-02",72.61,76.41,68.33,15,87.95,111.52,76.57
"2003-03",72.52,75.25,68.98,15.21,88.53,112.77,78.79
"2003-04",72.82,75.9,69.25,15.28,87.44,111.35,78.63
"2003-05",72.54,74.97,69.03,15.37,87.2,111.48,78.7
"2003-06",71.94,75.36,67.74,15.06,84.83,108.2,78.11
"2003-07",72.74,75.93,68.73,15.36,85.2,110.24,79.9
"2003-08",70.51,75.47,65.76,14.96,81.73,104.51,74.66
"2003-09",73.44,75.97,70.14,15.85,87.5,112.68,79.98
"2003-10",73.29,75.57,70.41,16.43,89.17,113.94,80.52
"2003-11",71.13,73.76,67.79,15.96,85.21,109.22,76.99
"2003-12",73.6,77.08,70.02,16.14,86.69,112.98,79.48
"2004-01",75.17,76.51,72.07,16.81,88.35,114.28,82.91
"2004-02",73.65,74.84,70.86,16.41,87.22,113.47,81.43
"2004-03",73.23,75.33,69.54,16.06,86.4,111.29,79.24
"2004-04",73.55,75.91,70.24,16.45,87.09,110.66,79.26
"2004-05",73.79,75.76,70.14,16.52,87.11,111.55,80.23
"2004-06",73.7,75.43,70.56,16.64,87.42,112.75,79.78
"2004-07",72.74,74.61,69.31,16.57,85.76,110.01,78.6
"2004-08",72.65,75.37,68.98,16.3,85,109.27,79.52
"2004-09",73.1,75.53,69.2,16.5,85.03,109.07,78.96
"2004-10",72.84,75.21,69.04,16.9,85.91,108.77,78.35
"2004-11",73.54,75.36,70.01,16.97,86.78,111.43,79.61
"2004-12",72.56,74.55,69.09,17.02,85.39,110.08,78.32
"2005-01",74.13,75.03,71.04,17.5,86.7,111.56,81.05
"2005-02",74.73,74.5,72.32,18.07,88.68,114.15,82.58
"2005-03",75.2,74.99,73.19,18.43,91.11,117.87,83.09
"2005-04",75.08,75.83,72.58,18.48,89.41,114.95,82.31
"2005-05",73.6,75.17,69.91,17.26,84.91,110.18,80.41
"2005-06",75.54,76.84,72.89,18.95,89.9,117.31,82.55
"2005-07",75.06,75.87,72.41,19.11,89.68,114.97,82.46
"2005-08",75.14,76.78,71.98,18.88,88.19,114.43,81.51
"2005-09",74.68,75.76,70.78,18.13,87.04,111.55,80.02
"2005-10",75.92,76.62,73.07,19.09,89.6,115.81,83.4
"2005-11",75.29,76.09,72.4,19.05,88.96,115.3,82.26
"2005-12",74.47,75.45,71.65,18.84,87.38,113.08,80.65
"2006-01",75.86,75.91,73.29,19.27,90.36,116.9,82.98
"2006-02",75.47,75.61,72.73,19.11,88.91,114.56,82.4
"2006-03",75.34,76.36,72.16,19.02,87.62,114.14,82.02
"2006-04",76.66,77.02,75.1,20.05,91.41,116.72,86.01
"2006-05",76.18,77.06,72.73,18.89,86.9,114.37,83.19
"2006-06",76.99,78.88,73.88,19.66,89.03,115.15,83.1
"2006-07",77.49,79.43,74.33,19.8,88.72,115.58,83.9
"2006-08",78.47,77.36,77.21,21.12,93.67,122.76,87.14
"2006-09",76.83,75.49,74.6,20.26,89.78,114.81,83.78
"2006-10",77.06,76.02,75.24,20.5,90.6,117.69,85.97
"2006-11",78.2,76.91,76.72,21.17,91.84,119.88,87.47
"2006-12",78.46,76.77,77.33,21.8,92.53,119.59,87.51
"2007-01",79.64,77.46,77.92,21.62,92.84,121.39,89.34
"2007-02",79.01,76.89,77.16,21.53,91.71,119.95,88.42
"2007-03",80.46,78.83,78.32,22.27,93.14,122.62,89.13
"2007-04",80.62,79.03,79.85,22.36,95.73,122.21,92.29
"2007-05",79.08,78.47,76.69,21.47,90.03,119.64,88.2
"2007-06",79.72,78.23,78.48,23.17,93.16,122.17,88.01
"2007-07",80.12,79.91,78.47,23.01,93.17,123.13,88.83
