date;value;topic;variable_short;variable_long;location;unit;source;update;public;description
01.01.2012;63.27410631;Mobilität;aufkommen_miv_indexiert;Aufkommen MIV an ausgewählten Zählstellen, relativ zu mittlerem Aufkommen 2019;Stadt Zürich;Anteil;Dienstabteilung Verkehr, Sicherheitsdepartement;täglich;ja;Lokale Replikation von Mobility_CarTraffic.R mit aktualisierten CSV-Dateien
02.01.2012;55.03001531;Mobilität;aufkommen_miv_indexiert;Aufkommen MIV an ausgewählten Zählstellen, relativ zu mittlerem Aufkommen 2019;Stadt Zürich;Anteil;Dienstabteilung Verkehr, Sicherheitsdepartement;täglich;ja;Lokale Replikation von Mobility_CarTraffic.R mit aktualisierten CSV-Dateien
03.01.2012;79.78247047;Mobilität;aufkommen_miv_indexiert;Aufkommen MIV an ausgewählten Zählstellen, relativ zu mittlerem Aufkommen 2019;Stadt Zürich;Anteil;Dienstabteilung Verkehr, Sicherheitsdepartement;täglich;ja;Lokale Replikation von Mobility_CarTraffic.R mit aktualisierten CSV-Dateien
04.01.2012;82.83341277;Mobilität;aufkommen_miv_indexiert;Aufkommen MIV an ausgewählten Zählstellen, relativ zu mittlerem Aufkommen 2019;Stadt Zürich;Anteil;Dienstabteilung Verkehr, Sicherheitsdepartement;täglich;ja;Lokale Replikation von Mobility_CarTraffic.R mit aktualisierten CSV-Dateien
05.01.2012;83.5929112;Mobilität;aufkommen_miv_indexiert;Aufkommen MIV an ausgewählten Zählstellen, relativ zu mittlerem Aufkommen 2019;Stadt Zürich;Anteil;Dienstabteilung Verkehr, Sicherheitsdepartement;täglich;ja;Lokale Replikation von Mobility_CarTraffic.R mit aktualisierten CSV-Dateien
06.01.2012;89.81027288;Mobilität;aufkommen_miv_indexiert;Aufkommen MIV an ausgewählten Zählstellen, relativ zu mittlerem Aufkommen 2019;Stadt Zürich;Anteil;Dienstabteilung Verkehr, Sicherheitsdepartement;täglich;ja;Lokale Replikation von Mobility_CarTraffic.R mit aktualisierten CSV-Dateien
07.01.2012;89.07589111;Mobilität;aufkommen_miv_indexiert;Aufkommen MIV an ausgewählten Zählstellen, relativ zu mittlerem Aufkommen 2019;Stadt Zürich;Anteil;Dienstabteilung Verkehr, Sicherheitsdepartement;täglich;ja;Lokale Replikation von Mobility_CarTraffic.R mit aktualisierten CSV-Dateien
08.01.2012;75.03039813;Mobilität;aufkommen_miv_indexiert;Aufkommen MIV an ausgewählten Zählstellen, relativ zu mittlerem Aufkommen 2019;Stadt Zürich;Anteil;Dienstabteilung Verkehr, Sicherheitsdepartement;täglich;ja;Lokale Replikation von Mobility_CarTraffic.R mit aktualisierten CSV-Dateien
09.01.2012;90.04304438;Mobilität;aufkommen_miv_indexiert;Aufkommen MIV an ausgewählten Zählstellen, relativ zu mittlerem Aufkommen 2019;Stadt Zürich;Anteil;Dienstabteilung Verkehr, Sicherheitsdepartement;täglich;ja;Lokale Replikation von Mobility_CarTraffic.R mit aktualisierten CSV-Dateien
10.01.2012;94.2655679;Mobilität;aufkommen_miv_indexiert;Aufkommen MIV an ausgewählten Zählstellen, relativ zu mittlerem Aufkommen 2019;Stadt Zürich;Anteil;Dienstabteilung Verkehr, Sicherheitsdepartement;täglich;ja;Lokale Replikation von Mobility_CarTraffic.R mit aktualisierten CSV-Dateien
11.01.2012;96.22004587;Mobilität;aufkommen_miv_indexiert;Aufkommen MIV an ausgewählten Zählstellen, relativ zu mittlerem Aufkommen 2019;Stadt Zürich;Anteil;Dienstabteilung Verkehr, Sicherheitsdepartement;täglich;ja;Lokale Replikation von Mobility_CarTraffic.R mit aktualisierten CSV-Dateien
12.01.2012;97.33574376;Mobilität;aufkommen_miv_indexiert;Aufkommen MIV an ausgewählten Zählstellen, relativ zu mittlerem Aufkommen 2019;Stadt Zürich;Anteil;Dienstabteilung Verkehr, Sicherheitsdepartement;täglich;ja;Lokale Replikation von Mobility_CarTraffic.R mit aktualisierten CSV-Dateien
13.01.2012;99.86866724;Mobilität;aufkommen_miv_indexiert;Aufkommen MIV an ausgewählten Zählstellen, relativ zu mittlerem Aufkommen 2019;Stadt Zürich;Anteil;Dienstabteilung Verkehr, Sicherheitsdepartement;täglich;ja;Lokale Replikation von Mobility_CarTraffic.R mit aktualisierten CSV-Dateien
14.01.2012;98.30803115;Mobilität;aufkommen_miv_indexiert;Aufkommen MIV an ausgewählten Zählstellen, relativ zu mittlerem Aufkommen 2019;Stadt Zürich;Anteil;Dienstabteilung Verkehr, Sicherheitsdepartement;täglich;ja;Lokale Replikation von Mobility_CarTraffic.R mit aktualisierten CSV-Dateien
