Date;Credit Card Transactions, Swiss-Wide Scaled Value
01.01.2019;13.27822311
02.01.2019;23.74965854
03.01.2019;28.24840429
04.01.2019;28.97761146
05.01.2019;28.80847184
06.01.2019;12.06247914
07.01.2019;21.20901474
08.01.2019;20.51885677
09.01.2019;20.92044742
10.01.2019;21.94575115
11.01.2019;25.67281404
12.01.2019;29.33253786
13.01.2019;11.00989899
14.01.2019;20.23705082
15.01.2019;20.96112459
16.01.2019;21.11887569
17.01.2019;22.1127865
18.01.2019;27.08287192
19.01.2019;29.64194971
20.01.2019;12.03684722
21.01.2019;20.56503819
22.01.2019;20.64912113
23.01.2019;21.88456688
24.01.2019;23.61646471
25.01.2019;26.62568446
26.01.2019;29.98422129
27.01.2019;12.77205396
28.01.2019;20.74743384
29.01.2019;20.70693822
30.01.2019;22.21049261
31.01.2019;23.96216279
01.02.2019;26.68550068
02.02.2019;31.47437426
03.02.2019;13.50884722
04.02.2019;21.96271479
05.02.2019;21.69636692
06.02.2019;22.96806495
07.02.2019;23.86053435
08.02.2019;28.09572197
09.02.2019;31.64045313
10.02.2019;14.39326839
11.02.2019;22.47602065
12.02.2019;22.60123933
13.02.2019;23.41145531
14.02.2019;25.50250712
15.02.2019;29.08237552
16.02.2019;32.0699562
17.02.2019;15.56981421
18.02.2019;21.92641161
19.02.2019;21.76647932
20.02.2019;22.62739309
21.02.2019;23.86519179
22.02.2019;29.04813896
23.02.2019;32.85980156
24.02.2019;15.1140559
25.02.2019;21.88774817
26.02.2019;21.30485469
27.02.2019;22.66974388
28.02.2019;23.80262797
01.03.2019;28.61588733
02.03.2019;32.21401022
03.03.2019;14.23815643
04.03.2019;22.22233969
05.03.2019;22.38613873
06.03.2019;23.5843196
07.03.2019;24.48848192
08.03.2019;29.21032938
09.03.2019;33.60667986
10.03.2019;13.87074016
11.03.2019;21.6367065
12.03.2019;21.80724942
13.03.2019;24.56693624
14.03.2019;24.12890046
15.03.2019;28.05845701
16.03.2019;32.24093499
17.03.2019;12.36481172
18.03.2019;20.37807117
19.03.2019;19.78849366
20.03.2019;21.30917203
21.03.2019;22.44140064
22.03.2019;26.09261304
23.03.2019;29.91852031
24.03.2019;12.66256078
25.03.2019;20.47366495
26.03.2019;20.85702454
27.03.2019;21.93892851
28.03.2019;23.39388029
29.03.2019;26.9851208
30.03.2019;31.44437692
31.03.2019;11.64857532
01.04.2019;20.54228808
02.04.2019;20.16199993
03.04.2019;23.02513152
04.04.2019;21.50282462
05.04.2019;26.24935586
06.04.2019;30.58789737
07.04.2019;12.45260987
08.04.2019;20.15143214
09.04.2019;20.9236486
10.04.2019;22.36608337
11.04.2019;23.19056035
12.04.2019;26.24851403
13.04.2019;29.71973583
14.04.2019;10.9444617
15.04.2019;21.28859268
16.04.2019;22.18639385
17.04.2019;23.04315953
18.04.2019;26.86489556
19.04.2019;11.54183116
20.04.2019;28.89796753
21.04.2019;8.992258116
22.04.2019;11.86897584
23.04.2019;22.14502604
24.04.2019;20.89205346
25.04.2019;21.9466452
26.04.2019;24.35966536
27.04.2019;26.57305899
28.04.2019;10.39118363
29.04.2019;20.22096646
30.04.2019;21.49695523
01.05.2019;18.48513085
02.05.2019;21.6627504
03.05.2019;24.85409712
04.05.2019;27.66431351
05.05.2019;10.48615371
06.05.2019;19.17845262
07.05.2019;19.63072235
08.05.2019;20.81421151
09.05.2019;22.14658887
10.05.2019;25.97511642
11.05.2019;29.64177219
12.05.2019;11.90147133
13.05.2019;19.98831648
14.05.2019;20.4347346
15.05.2019;21.46025789
16.05.2019;22.15292603
17.05.2019;25.31096448
18.05.2019;28.19736307
19.05.2019;11.0947955
20.05.2019;20.2538971
21.05.2019;19.93443407
22.05.2019;21.49926225
23.05.2019;22.54763748
24.05.2019;26.19652828
25.05.2019;28.53694022
26.05.2019;11.09738346
27.05.2019;20.47700599
28.05.2019;21.79727539
29.05.2019;24.7297604
30.05.2019;11.26956323
31.05.2019;29.46679334
01.06.2019;25.08067227
02.06.2019;11.16898224
03.06.2019;21.15786564
04.06.2019;20.9108882
05.06.2019;22.68398833
06.06.2019;23.77240844
07.06.2019;26.56293977
08.06.2019;29.46004305
09.06.2019;10.37619621
10.06.2019;13.55370481
11.06.2019;23.61730849
12.06.2019;23.24397456
13.06.2019;24.0093
14.06.2019;26.05627747
15.06.2019;29.18524024
16.06.2019;11.56393395
17.06.2019;22.07252257
18.06.2019;22.07260241
19.06.2019;23.46042111
20.06.2019;23.4279641
21.06.2019;28.44919266
22.06.2019;30.95703411
23.06.2019;12.08799595
24.06.2019;22.98758396
25.06.2019;22.50826163
26.06.2019;23.80169168
27.06.2019;24.91974863
28.06.2019;28.01326816
29.06.2019;29.12363014
30.06.2019;12.36844166
01.07.2019;23.1550079
02.07.2019;23.00508125
03.07.2019;23.68642661
04.07.2019;23.9310448
05.07.2019;26.11228433
06.07.2019;27.4487331
07.07.2019;12.19919936
08.07.2019;22.94317396
