date,total_in,total_out
2020-01-01,15791,13511
2020-01-02,14246,11390
2020-01-03,21774,17331
2020-01-04,19017,15415
2020-01-05,17040,14874
2020-01-06,34895,29189
2020-01-07,36676,30872
2020-01-08,38807,32333
2020-01-09,39820,33800
2020-01-10,38747,31987
2020-01-11,23809,19014
2020-01-12,19324,15955
2020-01-13,38327,31870
2020-01-14,40624,33944
2020-01-15,40733,34070
2020-01-16,40330,33847
2020-01-17,38854,31753
2020-01-18,25025,19900
2020-01-19,17885,14783
2020-01-20,38420,32007
2020-01-21,40296,33483
2020-01-22,40702,33566
2020-01-23,40238,33409
2020-01-24,38828,32388
2020-01-25,26711,21593
2020-01-26,17904,14985
2020-01-27,38324,31990
2020-01-28,39889,32911
2020-01-29,39419,32718
2020-01-30,40710,33973
2020-01-31,41076,34350
2020-02-01,25773,20908
2020-02-02,16668,13654
2020-02-03,37392,30690
2020-02-04,39939,32956
2020-02-05,41158,33823
2020-02-06,41063,34120
2020-02-07,40176,32777
2020-02-08,27121,21920
2020-02-09,18424,15690
2020-02-10,32790,25964
2020-02-11,35373,27820
2020-02-12,36010,28297
2020-02-13,36463,28918
2020-02-14,36620,28786
2020-02-15,23811,19081
2020-02-16,17651,14735
2020-02-17,33806,26981
2020-02-18,37992,30631
2020-02-19,38147,30402
2020-02-20,38548,31148
2020-02-21,37325,29793
2020-02-22,27088,22295
2020-02-23,18483,15814
2020-02-24,38365,32213
2020-02-25,41105,34149
2020-02-26,41323,33878
2020-02-27,40979,33999
2020-02-28,39658,33149
2020-02-29,24623,19889
2020-03-01,18916,17028
2020-03-02,36602,30385
2020-03-03,40456,34248
2020-03-04,39649,33109
2020-03-05,37852,31598
2020-03-06,37384,30856
2020-03-07,27085,22884
2020-03-08,18732,16118
2020-03-09,35367,29472
2020-03-10,35623,29440
2020-03-11,37450,31507
2020-03-12,36085,30535
2020-03-13,32867,27354
2020-03-14,13119,9503
2020-03-15,11737,9294
2020-03-16,17091,12382
2020-03-17,17771,14298
2020-03-18,16633,13482
2020-03-19,15288,12430
2020-03-20,13552,10889
2020-03-21,7084,5727
2020-03-22,6560,5747
2020-03-23,12423,9895
2020-03-24,11893,9446
2020-03-25,12293,9926
2020-03-26,11602,9281
2020-03-27,12601,10124
2020-03-28,9827,8516
2020-03-29,4906,4184
2020-03-30,10942,8746
2020-03-31,12831,10563
2020-04-01,13011,10925
2020-04-02,12699,10439
2020-04-03,13042,10877
2020-04-04,9689,8144
2020-04-05,8762,7713
2020-04-06,12625,10319
2020-04-07,13065,10740
2020-04-08,13552,10943
2020-04-09,13433,10811
2020-04-10,9375,7828
2020-04-11,9774,8296
2020-04-12,8635,7404
2020-04-13,8879,7545
2020-04-14,12948,10375
2020-04-15,14123,11614
2020-04-16,14326,11843
2020-04-17,15191,12707
2020-04-18,11367,9637
2020-04-19,9729,8456
2020-04-20,13407,11093
2020-04-21,14345,11568
2020-04-22,15683,12852
2020-04-23,15565,12537
2020-04-24,16200,13232
2020-04-25,12566,10816
2020-04-26,10451,9120
2020-04-27,16819,14036
2020-04-28,14246,11369
2020-04-29,16398,13286
2020-04-30,15311,12130
2020-05-01,9550,7584
2020-05-02,10799,9056
2020-05-03,11082,9932
2020-05-04,17279,14164
2020-05-05,15152,11806
2020-05-06,18780,15535
2020-05-07,19605,16071
2020-05-08,15168,10925
2020-05-09,15985,13913
2020-05-10,12723,11118
2020-05-11,18178,14535
2020-05-12,20859,16990
2020-05-13,20296,16264
2020-05-14,11590,9504
2020-05-15,13266,10935
2020-05-16,19131,16230
2020-05-17,15138,13563
2020-05-18,21934,18217
2020-05-19,23495,19371
2020-05-20,24858,20377
2020-05-21,16616,14686
2020-05-22,20519,17538
2020-05-23,13516,10923
2020-05-24,14008,12191
2020-05-25,22710,18694
