date;value;topic;variable_short;variable_long;location;unit;source;update;public;description
01.01.2020;12.48145545;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
02.01.2020;16.67062098;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
03.01.2020;21.32555938;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
04.01.2020;15.58112219;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
05.01.2020;11.77100127;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
06.01.2020;20.97334276;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
07.01.2020;20.21898922;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
08.01.2020;17.36049057;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
09.01.2020;21.59133516;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
10.01.2020;24.0664358;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
11.01.2020;19.11969881;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
12.01.2020;12.9183458;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
13.01.2020;22.04229767;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
14.01.2020;23.57930717;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
15.01.2020;23.33093264;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
16.01.2020;24.99023341;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
17.01.2020;25.70669076;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
18.01.2020;19.78457031;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
19.01.2020;11.44714536;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
20.01.2020;23.25571934;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
21.01.2020;23.66068232;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
22.01.2020;23.55882285;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
23.01.2020;24.10990756;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
24.01.2020;27.68302752;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
25.01.2020;21.04494485;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
26.01.2020;14.09515724;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
27.01.2020;22.82608795;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
28.01.2020;22.59751296;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
29.01.2020;22.01259273;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
30.01.2020;25.2732856;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
31.01.2020;26.81760782;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
01.02.2020;20.44575615;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
02.02.2020;10.73789816;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
03.02.2020;21.49108192;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
04.02.2020;22.99884419;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
05.02.2020;24.80002539;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
06.02.2020;26.44969285;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
07.02.2020;29.66433374;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
08.02.2020;25.54974004;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
09.02.2020;15.07078607;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
10.02.2020;20.73385782;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
11.02.2020;21.21862588;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
12.02.2020;23.98484226;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
13.02.2020;24.52114569;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
14.02.2020;27.63063236;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
15.02.2020;23.6745296;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
16.02.2020;13.12786981;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
17.02.2020;21.3013587;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
18.02.2020;23.54589319;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
19.02.2020;22.89423487;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
20.02.2020;25.08147352;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
21.02.2020;26.39993841;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
22.02.2020;20.67111143;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
23.02.2020;13.54139111;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
24.02.2020;23.86642186;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
25.02.2020;21.55364833;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
26.02.2020;20.0651902;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
27.02.2020;22.10917559;Mobilität;tages_distanz_median;mediane Tagesdistanz;CH;km;intervista Tracking-panel;täglich;ja;https://github.com/statistikZH/covid19monitoring_mobility_intervista
