Date;Non-Online Retail Sales, Swiss-Wide Volume in CHF
01.01.2019;10.44870466
02.01.2019;18.95127651
03.01.2019;22.72914749
04.01.2019;24.15025794
05.01.2019;25.30864445
06.01.2019;8.120564236
07.01.2019;15.00745766
08.01.2019;14.89683319
09.01.2019;15.52747731
10.01.2019;16.43068195
11.01.2019;20.72919325
12.01.2019;25.98599719
13.01.2019;7.05687552
14.01.2019;14.42572876
15.01.2019;15.72917029
16.01.2019;16.18963557
17.01.2019;17.15848664
18.01.2019;22.24130882
19.01.2019;26.46868152
20.01.2019;8.351503655
21.01.2019;15.09903566
22.01.2019;15.59991345
23.01.2019;16.92166575
24.01.2019;18.50514668
25.01.2019;21.87532094
26.01.2019;26.71001365
27.01.2019;8.884479294
28.01.2019;14.91184717
29.01.2019;15.4105337
30.01.2019;16.84279558
31.01.2019;18.46189678
01.02.2019;21.07210357
02.02.2019;27.90766539
03.02.2019;9.553021217
04.02.2019;15.99505707
05.02.2019;16.38268057
06.02.2019;17.95517035
07.02.2019;18.8673277
08.02.2019;23.1171497
09.02.2019;28.24081607
10.02.2019;10.43071299
11.02.2019;16.54604739
12.02.2019;17.18684741
13.02.2019;18.20738918
14.02.2019;20.42653205
15.02.2019;24.20798537
16.02.2019;28.73091049
17.02.2019;11.93572295
18.02.2019;16.68010365
19.02.2019;16.82315479
20.02.2019;17.3434191
21.02.2019;18.96822836
22.02.2019;24.24769242
23.02.2019;29.4887272
24.02.2019;11.25217142
25.02.2019;16.10345181
26.02.2019;15.90631398
27.02.2019;17.41150055
28.02.2019;18.27023956
01.03.2019;23.20247658
02.03.2019;28.66285859
03.03.2019;10.34324914
04.03.2019;16.2898378
05.03.2019;16.83139464
06.03.2019;18.20293177
07.03.2019;19.30525201
08.03.2019;24.0792507
09.03.2019;30.00589145
10.03.2019;9.874095172
11.03.2019;15.67600461
12.03.2019;16.47427487
13.03.2019;16.90211837
14.03.2019;18.17798368
15.03.2019;22.638512
16.03.2019;28.72136689
17.03.2019;19.07076201
18.03.2019;45.81430428
19.03.2019;44.32220134
20.03.2019;49.06847937
21.03.2019;50.94187138
22.03.2019;65.39421665
23.03.2019;80.42770439
24.03.2019;20.25209422
25.03.2019;50.76982434
26.03.2019;50.85187407
27.03.2019;54.11053209
28.03.2019;56.58690794
29.03.2019;72.02445814
30.03.2019;88.17670631
31.03.2019;19.06244086
01.04.2019;48.08533505
02.04.2019;48.95711551
03.04.2019;52.51616273
04.04.2019;49.78958752
05.04.2019;68.65079759
06.04.2019;86.10367291
07.04.2019;17.89056082
08.04.2019;47.56039136
09.04.2019;49.87147594
10.04.2019;52.91861422
11.04.2019;54.09726255
12.04.2019;67.17887651
13.04.2019;82.5892382
14.04.2019;17.54381152
15.04.2019;50.41207852
16.04.2019;53.44813569
17.04.2019;60.01504545
18.04.2019;73.71345731
19.04.2019;23.31684634
20.04.2019;84.20804604
21.04.2019;16.10834049
22.04.2019;21.2663716
23.04.2019;52.63815304
24.04.2019;49.69396998
25.04.2019;58.08367534
26.04.2019;69.83762551
27.04.2019;81.66262237
28.04.2019;16.94876655
29.04.2019;49.54532885
30.04.2019;54.02477066
01.05.2019;45.78731228
02.05.2019;55.48477091
03.05.2019;67.45359953
04.05.2019;80.70290836
05.05.2019;16.9504027
06.05.2019;46.61101906
07.05.2019;47.03893204
08.05.2019;50.85415454
09.05.2019;53.04949841
10.05.2019;67.31881297
11.05.2019;84.96097967
12.05.2019;20.43044862
13.05.2019;45.28072329
14.05.2019;47.37654819
15.05.2019;50.27748344
16.05.2019;51.58268367
17.05.2019;64.42753259
18.05.2019;78.66129011
19.05.2019;17.36166311
20.05.2019;45.64825522
21.05.2019;44.88744742
22.05.2019;50.48799144
23.05.2019;52.71375685
24.05.2019;71.51499338
25.05.2019;85.75688721
26.05.2019;18.67594213
27.05.2019;51.66071545
28.05.2019;55.08837371
29.05.2019;68.80724987
30.05.2019;20.97328063
31.05.2019;84.98237492
01.06.2019;73.68011378
02.06.2019;19.45422916
03.06.2019;53.00959734
04.06.2019;52.32578926
05.06.2019;56.73808108
06.06.2019;59.45294182
07.06.2019;71.37770727
08.06.2019;86.93764851
09.06.2019;18.06349516
10.06.2019;23.39885408
11.06.2019;56.17121762
12.06.2019;54.57092384
13.06.2019;55.55664137
14.06.2019;65.48069861
15.06.2019;79.60323487
16.06.2019;18.88156441
17.06.2019;50.20155081
18.06.2019;50.68172153
19.06.2019;55.49445345
20.06.2019;52.33807925
21.06.2019;71.44415934
22.06.2019;80.6636725
23.06.2019;19.08939449
24.06.2019;52.45627052
25.06.2019;57.99284773
26.06.2019;60.9614925
27.06.2019;63.54879232
28.06.2019;75.84411705
29.06.2019;85.04208199
30.06.2019;20.57119225
01.07.2019;56.54141722
02.07.2019;56.5740215
03.07.2019;58.70008555
04.07.2019;59.72489015
05.07.2019;68.78440133
06.07.2019;78.3996665
07.07.2019;19.69248666
08.07.2019;53.73247922
09.07.2019;53.31186611
10.07.2019;55.04639678
11.07.2019;56.72755297
12.07.2019;65.34720367
13.07.2019;76.15375386
14.07.2019;19.17463588
15.07.2019;51.94951245
16.07.2019;49.27210718
17.07.2019;50.77901145
18.07.2019;54.36284286
19.07.2019;62.58971038
20.07.2019;69.12653895
21.07.2019;19.254294
22.07.2019;50.03779466
23.07.2019;48.46226584
24.07.2019;49.946615
25.07.2019;57.40446743
26.07.2019;65.16880086
27.07.2019;75.75162158
28.07.2019;19.1700886
29.07.2019;55.22779372
30.07.2019;54.0238278
31.07.2019;68.78463183
01.08.2019;20.31552059
02.08.2019;70.56233192
03.08.2019;65.60726555
04.08.2019;20.91825261
05.08.2019;52.48104306
06.08.2019;52.77403732
07.08.2019;56.71946737
08.08.2019;55.74575315
09.08.2019;61.79415113
10.08.2019;73.73635777
11.08.2019;20.70621903
12.08.2019;52.41188612
13.08.2019;52.64112784
14.08.2019;53.77848186
15.08.2019;51.03134225
16.08.2019;66.80866229
17.08.2019;71.40031103
18.08.2019;19.85798134
19.08.2019;49.17243282
20.08.2019;49.21831215
21.08.2019;52.36264719
22.08.2019;53.23928839
23.08.2019;69.0283475
24.08.2019;74.36207567
25.08.2019;19.16888251
26.08.2019;50.33456712
27.08.2019;50.95130766
28.08.2019;54.65960678
29.08.2019;56.37254365
30.08.2019;65.96099679
31.08.2019;73.64298456
01.09.2019;18.46532561
02.09.2019;49.58953267
03.09.2019;49.70915702
04.09.2019;51.51846588
05.09.2019;50.95057042
06.09.2019;66.08589732
07.09.2019;76.41861749
08.09.2019;17.67674899
09.09.2019;48.59930474
10.09.2019;48.96534306
11.09.2019;50.99618595
12.09.2019;51.39948088
13.09.2019;63.06972594
14.09.2019;72.95788457
