"date","out.ch","out_incl_losses.ch","in.ch"
2009-01-01,143210048.271,162899052.53775,123803654.946
2009-01-02,154168793.497,171008640.86,132792192.055
2009-01-03,160934295.486,174300139.136,154272717.726
2009-01-04,154669850.618,169296014.70025,139568560.276
2009-01-05,187821153.866,203119019.156,178564780.108
2009-01-06,195157849.583,208018627.48825,177448240.422
2009-01-07,197549124.987,211820370.65125,188176319.215
2009-01-08,199862029.36,214397572.099,177749286.58
2009-01-09,196756367.694,210919020.1745,180895332.69
2009-01-10,175799034.807,189183545.575,153618014.21
2009-01-11,164384353.959,178724091.6995,142465871.749
2009-01-12,197044177.183,212289647.7015,176545836.509
2009-01-13,199968691.619,215263932.888,181708719.548
2009-01-14,199884701.261,214243324.26725,183607121.95
2009-01-15,196499050.462,211672581.15975,187774902.386
2009-01-16,192805900.437,207895865.74525,161083127.556
2009-01-17,170767321.496,183283431.807,155717835.513
2009-01-18,158956064.221,174462187.45625,141471690.927
2009-01-19,188112156.086,203832877.95675,168138084.274
2009-01-20,190511656.067,207811268.87925,172272967.25
2009-01-21,191425243.996,208881508.6145,163180743.16
2009-01-22,190323766.737,206156992.95825,170226695.581
2009-01-23,188684638.537,206143035.49725,163364218.631
2009-01-24,165121052.707,183920224.12625,143973069.71
2009-01-25,152842547.802,173814691.97525,141621664.942
2009-01-26,186884997.236,202712666.1085,174664880.822
2009-01-27,190812676.29,206873356.54925,170142296.728
2009-01-28,192791632.817,207786768.52,166600484.959
2009-01-29,193528630.017,207861982.404,199474700.35
2009-01-30,190125265.58,204378076.63125,173294500.6
2009-01-31,171227885.5,184209650.67925,149753516.411
2009-02-01,160862405.726,181831446.6835,142606803.451
2009-02-02,188374602.187,204770844.60925,171591582.109
2009-02-03,188209474.784,203893731.338,163999522.168
2009-02-04,186537915.141,203526175.8925,167980577.377
2009-02-05,186141037.227,201768414.16025,160876157.285
2009-02-06,182470000.706,198370206.196,160072019.354
2009-02-07,162513910.874,177927978.549,144587512.081
2009-02-08,153038727.472,171489010.5525,137589086.502
2009-02-09,185172534.301,200773543.91575,166843925.183
