time,2000q2,2000q3,2000q4,2001q1,2001q2,2001q3,2001q4,2002q1,2002q2,2002q3,2002q4,2003q1,2003q2,2003q3,2003q4,2004q1,2004q2,2004q3,2004q4,2005q1,2005q2,2005q3,2005q4,2006q1,2006q2,2006q3,2006q4,2007q1,2007q2,2007q3,2007q4,2008q1,2008q2,2008q3,2008q4,2009q1,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2,2021q3,2021q4,2022q1,2022q2,2022q3,2022q4,2023q1,2023q2,2023q3,2023q4,2024q1,2024q2,2024q3,2024q4,2025q1,2025q2,2025q3,2025q4,2026q1
1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89780.2917677033,89780.2917677033,89780.2917677033,89780.2917677033,89780.2917677033,89780.2917677033,89780.2917677033,89780.2917677033,90471.8938848946,90471.8938848946,90471.8938848946,90471.8938848946,90471.8938848946,90471.8938848946,90471.8938848946,90471.8938848946,90356.0530725644,90356.0530725644,90356.0530725644,90356.0530725644,90356.0530725644,90356.0530725644,90356.0530725644,90356.0530725644,90356.0530725644,90356.0530725644,90356.0530725644,90356.0530725644,91188.4429261886,91191.243786267,91191.1512883328
1980-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90041.5923452056,90041.5923452056,90041.5923452056,90041.5923452056,90041.5923452056,90041.5923452056,90041.5923452056,90041.5923452056,90796.4433701083,90796.4433701083,90796.4433701083,90796.4433701083,90796.4433701083,90796.4433701083,90796.4433701083,90796.4433701083,90496.4926219778,90496.4926219778,90496.4926219778,90496.4926219778,90496.4926219778,90496.4926219778,90496.4926219778,90496.4926219778,90496.4926219778,90496.4926219778,90496.4926219778,90496.4926219778,91651.1679717911,91653.983044505,91653.8900772009
1980-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90640.9949742035,90640.9949742035,90640.9949742035,90640.9949742035,90640.9949742035,90640.9949742035,90640.9949742035,90640.9949742035,91213.7788090829,91213.7788090829,91213.7788090829,91213.7788090829,91213.7788090829,91213.7788090829,91213.7788090829,91213.7788090829,90957.6309015049,90957.6309015049,90957.6309015049,90957.6309015049,90957.6309015049,90957.6309015049,90957.6309015049,90957.6309015049,90957.6309015049,90957.6309015049,90957.6309015049,90957.6309015049,92098.666140872,92101.4949585268,92101.4015372984
1980-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91041.3758180882,91041.3758180882,91041.3758180882,91041.3758180882,91041.3758180882,91041.3758180882,91041.3758180882,91041.3758180882,91776.4937628067,91776.4937628067,91776.4937628067,91776.4937628067,91776.4937628067,91776.4937628067,91776.4937628067,91776.4937628067,91483.5305905696,91483.5305905696,91483.5305905696,91483.5305905696,91483.5305905696,91483.5305905696,91483.5305905696,91483.5305905696,91483.5305905696,91483.5305905696,91483.5305905696,91483.5305905696,92636.2775492179,92639.1228796488,92639.0289130887
1981-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91255.566984844,91255.566984844,91255.566984844,91255.566984844,91255.566984844,91255.566984844,91255.566984844,91255.566984844,91677.5902180534,91677.5902180534,91677.5902180534,91677.5902180534,91677.5902180534,91677.5902180534,91677.5902180534,91677.5902180534,91447.508330111,91447.508330111,91447.508330111,91447.508330111,91447.508330111,91447.508330111,91447.508330111,91447.508330111,91447.508330111,91447.508330111,91447.508330111,91447.508330111,92654.9317519963,92657.7776553923,92657.6836699102
1981-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91902.9407680637,91902.9407680637,91902.9407680637,91902.9407680637,91902.9407680637,91902.9407680637,91902.9407680637,91902.9407680637,92629.3434162666,92629.3434162666,92629.3434162666,92629.3434162666,92629.3434162666,92629.3434162666,92629.3434162666,92629.3434162666,92492.7363089111,92492.7363089111,92492.7363089111,92492.7363089111,92492.7363089111,92492.7363089111,92492.7363089111,92492.7363089111,92492.7363089111,92492.7363089111,92492.7363089111,92492.7363089111,93536.4287202702,93539.3016989138,93539.2068192762
1981-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92162.7404692426,92162.7404692426,92162.7404692426,92162.7404692426,92162.7404692426,92162.7404692426,92162.7404692426,92162.7404692426,93108.7615276658,93108.7615276658,93108.7615276658,93108.7615276658,93108.7615276658,93108.7615276658,93108.7615276658,93108.7615276658,92813.9754051703,92813.9754051703,92813.9754051703,92813.9754051703,92813.9754051703,92813.9754051703,92813.9754051703,92813.9754051703,92813.9754051703,92813.9754051703,92813.9754051703,92813.9754051703,93817.5855085509,93820.467122947,93820.3719581151
1981-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91974.0481167952,91974.0481167952,91974.0481167952,91974.0481167952,91974.0481167952,91974.0481167952,91974.0481167952,91974.0481167952,92702.2812456094,92702.2812456094,92702.2812456094,92702.2812456094,92702.2812456094,92702.2812456094,92702.2812456094,92702.2812456094,92465.7561104301,92465.7561104301,92465.7561104301,92465.7561104301,92465.7561104301,92465.7561104301,92465.7561104301,92465.7561104301,92465.7561104301,92465.7561104301,92465.7561104301,92465.7561104301,93671.750022036,93674.6271570838,93674.5321401816
1982-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91693.7907573999,91693.7907573999,91693.7907573999,91693.7907573999,91693.7907573999,91693.7907573999,91693.7907573999,91693.7907573999,92012.1198990219,92012.1198990219,92012.1198990219,92012.1198990219,92012.1198990219,92012.1198990219,92012.1198990219,92012.1198990219,91825.6828183354,91825.6828183354,91825.6828183354,91825.6828183354,91825.6828183354,91825.6828183354,91825.6828183354,91825.6828183354,91825.6828183354,91825.6828183354,91825.6828183354,91825.6828183354,92865.6742795121,92868.5266558812,92868.4324566302
1982-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90616.4737652409,90616.4737652409,90616.4737652409,90616.4737652409,90616.4737652409,90616.4737652409,90616.4737652409,90616.4737652409,91483.908024443,91483.908024443,91483.908024443,91483.908024443,91483.908024443,91483.908024443,91483.908024443,91483.908024443,91228.1398879169,91228.1398879169,91228.1398879169,91228.1398879169,91228.1398879169,91228.1398879169,91228.1398879169,91228.1398879169,91228.1398879169,91228.1398879169,91228.1398879169,91228.1398879169,92387.0569240315,92389.8945996314,92389.8008858708
1982-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90163.2821073257,90163.2821073257,90163.2821073257,90163.2821073257,90163.2821073257,90163.2821073257,90163.2821073257,90163.2821073257,90785.5211017457,90785.5211017457,90785.5211017457,90785.5211017457,90785.5211017457,90785.5211017457,90785.5211017457,90785.5211017457,90746.5266152739,90746.5266152739,90746.5266152739,90746.5266152739,90746.5266152739,90746.5266152739,90746.5266152739,90746.5266152739,90746.5266152739,90746.5266152739,90746.5266152739,90746.5266152739,91726.5292559507,91729.3466433923,91729.2535996447
1982-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90040.1925650509,90040.1925650509,90040.1925650509,90040.1925650509,90040.1925650509,90040.1925650509,90040.1925650509,90040.1925650509,90512.6287188718,90512.6287188718,90512.6287188718,90512.6287188718,90512.6287188718,90512.6287188718,90512.6287188718,90512.6287188718,90471.1804181961,90471.1804181961,90471.1804181961,90471.1804181961,90471.1804181961,90471.1804181961,90471.1804181961,90471.1804181961,90471.1804181961,90471.1804181961,90471.1804181961,90471.1804181961,91726.1306694977,91728.9480446966,91728.8550013533
1983-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90197.5906290725,90197.5906290725,90197.5906290725,90197.5906290725,90197.5906290725,90197.5906290725,90197.5906290725,90197.5906290725,91307.888014355,91307.888014355,91307.888014355,91307.888014355,91307.888014355,91307.888014355,91307.888014355,91307.888014355,91221.823011275,91221.823011275,91221.823011275,91221.823011275,91221.823011275,91221.823011275,91221.823011275,91221.823011275,91221.823011275,91221.823011275,91221.823011275,91221.823011275,92200.276575306,92203.1085139331,92203.014989635
1983-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91023.5553891353,91023.5553891353,91023.5553891353,91023.5553891353,91023.5553891353,91023.5553891353,91023.5553891353,91023.5553891353,91478.3806016416,91478.3806016416,91478.3806016416,91478.3806016416,91478.3806016416,91478.3806016416,91478.3806016416,91478.3806016416,91301.9377515735,91301.9377515735,91301.9377515735,91301.9377515735,91301.9377515735,91301.9377515735,91301.9377515735,91301.9377515735,91301.9377515735,91301.9377515735,91301.9377515735,91301.9377515735,92444.8205580118,92447.6600078262,92447.5662354724
1983-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91414.7380918725,91414.7380918725,91414.7380918725,91414.7380918725,91414.7380918725,91414.7380918725,91414.7380918725,91414.7380918725,91876.8023162193,91876.8023162193,91876.8023162193,91876.8023162193,91876.8023162193,91876.8023162193,91876.8023162193,91876.8023162193,91774.5871803883,91774.5871803883,91774.5871803883,91774.5871803883,91774.5871803883,91774.5871803883,91774.5871803883,91774.5871803883,91774.5871803883,91774.5871803883,91774.5871803883,91774.5871803883,92928.1902759861,92931.0445725388,92930.950309874
